       filename,p-miss ,total  ,total  ,# of  ,time to,path to,speed  ,entr.  ,# of   ,time to,path to,speed  ,sd of  ,line- ,max.  ,max.  ,time to,path to,speed  ,Time   ,pTime  ,pTime  ,pTime  ,pTime  ,Rayleig,Rayleig,Polar  ,Polar  ,Polar  ,Polar  ,Min    ,Min    ,Polar  ,Polar  ,Max    ,Max    ,Annular,Annular,Annular,Annular,Annular,Annular,Annular,Annular,next   ,mouse id,genotype,group,LocomotorActivity,RECENT LocomotorActivity,Punishment,Punishment,Learning,Memory,Memory,SynapseFunction,SynapsePlasticity,
               ,       ,time   ,path   ,entr. ,first  ,first  ,first  ,per    ,shocks ,first  ,first  ,       ,speed  ,arity ,time  ,path  ,second ,second ,second ,TARG   ,TARG   ,CCW    ,OPP    ,CW     ,length ,angle  ,avg    ,sd     ,min    ,min bin,50% rng,50% rng,max    ,max bin,50% rng,50% rng,min+   ,min+bin,max    ,max bin,avg    ,sd     ,Skewnes,Kurtosi,param  ,,,,total path (m),last path (m),total shocks,last shocks,total entrances,T1 (retention),T2(retention),I/O max (mV/ms),LTP % baseline,LTB s.d.
               ,       ,       ,       ,      ,entr.  ,entr.  ,entr. ,dist.   ,       ,shock  ,shock  ,       ,       ,      ,avoid.,avoid.,entr.  ,entr.  ,entr.  ,       ,       ,       ,       ,       ,       ,       ,val    ,val    ,val    ,       ,lo bin ,hi bin ,val    ,       ,lo bin ,hi bin ,val    ,       ,val    ,       ,       ,       ,       ,       ,       ,,,,,,,,,,,,,
               ,       ,[s]    ,[m]    ,      ,[s]    ,[m]    ,[cm/s] ,[1/m]  ,       ,[s]    ,[m]    ,[cm/s] ,[cm/s] ,[0-1] ,[s]   ,[m]   ,[s]    ,[m]    ,[cm/s] ,[s]    ,       ,       ,       ,       ,[0-1]  ,[deg]  ,[deg]  ,[deg]  ,[0-1]  ,[deg]  ,[deg]  ,[deg]  ,[0-1]  ,[deg]  ,[deg]  ,[deg]  ,[0-1]  ,[cm]   ,[0-1]  ,[cm]   ,[cm]   ,[cm]   ,       ,       ,[]     ,,,,,,,,,,,,,
RoomTrack_fmr1AB_pretraining_20140129_102732.dat,0,600,29.95,31,9.98,0.71,4.07,1.04,53,9.98,0.71,4.99,3.7,0.5278,56,4.83,24.32,1.77,12.06,95.818,0.2453,0.3165,0.245,0.1932,0.15,95.24,184,94.31,0.0112,300,150,20,0.047,40,10,170,0.0039,18.5,0.3065,13.5,13.09,17.75,1.17,4.39,,,,,,,,,,,,,,
RoomTrack_fmr1AB_training1_20140129_110313.dat,0,600,25.94,27,16.31,0.64,7.14,1.04,72,16.31,0.64,4.32,3.21,0.5325,47,2.42,34.56,1.62,12.71,141.418,0.342,0.301,0.162,0.195,0.21,40.52,167.68,93.66,0.0114,210,120,0,0.0485,10,320,110,0.0031,18.5,0.3405,13.5,13.2,16.88,1.32,4.95,,,,,,,,,,,,,,
RoomTrack_fmr1AB_training2_20140129_115151.dat,0,600,22.83,22,27.46,0.84,6.76,0.96,65,27.46,0.84,3.81,2.76,0.5405,75,1.89,84.77,2.82,5.85,128.742,0.3169,0.235,0.2369,0.2112,0.07,353.26,169.15,102.26,0.0173,80,10,210,0.0402,350,260,80,0.0036,18.5,0.3286,13.5,12.74,17.95,1.2,4.52,,,,,,,,,,,,,,
RoomTrack_fmr1AB_training3_20140129_124720.dat,0,600,19.09,14,12.28,0.23,2.65,0.73,41,12.28,0.23,3.18,2.29,0.5583,113,3.29,41.97,0.83,4.67,76.868,0.1849,0.1958,0.2857,0.3337,0.15,236.37,195.28,110.16,0.0163,0,300,180,0.0497,250,160,320,0.0025,18.5,0.3923,13.5,13.96,14.5,1.71,7.92,,,,,,,,,,,,,,
RoomTrack_fmr1AB_retention_20140130_102946.dat,0,600,20.7,11,84.17,2.18,5.11,0.53,30,84.17,2.18,3.45,2.58,0.5487,119,3.34,203.51,6.18,2.25,57.353,0.1454,0.1409,0.3163,0.3974,0.36,229.08,223.31,102.6,0.0108,20,270,190,0.0776,230,180,290,0.0001,18.5,0.4452,15.4,14.17,15.63,2.12,8.31,,fmr1AB,WT,untrained,118.51,20.7,0,0,74,84.17,203.51,-6.7,148.3,10.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoomTrack_fmr1A_pretraining_20140121_110541.dat,0,600,16.67,21,0.5,0,-1,1.26,57,0.5,0,2.78,2.28,0.4708,54,0.36,43.37,0.29,0.89,116.699,0.2964,0.2251,0.2494,0.2291,0.07,314.08,170.04,104.56,0.0192,240,90,300,0.0485,340,260,80,0.0309,17,0.3196,3.6,10.44,27.43,0.4,1.67,,,,,,,,,,,,,,
RoomTrack_fmr1A_training1_20140121_120419.dat,0,600,31.45,30,0.5,0,-1,0.95,46,0.5,0,5.24,3.93,0.5448,83,4.74,24.32,1.6,13.67,82.04,0.2115,0.2932,0.3171,0.1782,0.09,132.51,183.92,98.39,0.015,270,120,320,0.0421,320,290,120,0.0002,18.5,0.3344,13.5,13.42,18.25,1.7,6.14,,,,,,,,,,,,,,
RoomTrack_fmr1A_training2_20140121_130141.dat,0,600,26.2,30,0.5,0,-1,1.14,61,0.5,0,4.37,3.47,0.5213,50,2.2,22.79,0.81,9.84,113.565,0.2897,0.2395,0.2306,0.2402,0.06,337.73,180.21,104.92,0.0128,90,70,280,0.042,320,270,90,0.0001,18.5,0.2782,13.5,11.07,23.3,0.62,2.43,,,,,,,,,,,,,,
RoomTrack_fmr1A_training3_20140121_135323.dat,0,600,22.63,22,66.59,2.15,7.38,0.97,41,66.59,2.15,3.77,2.98,0.538,66,2.15,84.57,2.84,3.86,79.809,0.1861,0.2035,0.364,0.2464,0.18,204.47,202.32,103.09,0.0167,60,270,150,0.0516,200,130,280,0.0249,17,0.2501,13.5,10.84,25.74,0.69,2.39,,,,,,,,,,,,,,
RoomTrack_fmr1A_reten_20140122_105316.dat,0,600,29.36,36,4.87,0.28,12.63,1.23,68,4.87,0.28,4.89,3.78,0.556,43,2.99,11.84,0.91,11.65,120.407,0.3077,0.2409,0.1932,0.2583,0.1,324.77,169.46,106.23,0.017,150,20,240,0.0454,320,230,40,0.0027,17,0.2823,11.4,9.99,21.16,0.51,2.47,,fmr1A,KO,untrained,126.31,29.36,0,0,118,4.87,11.84,-3.1,194.1,17.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoomTrack_fmr1B_pretraining_20140122_115350.dat,0,600,25.98,31,5.04,0.37,13.85,1.19,59,5.04,0.37,4.33,3.26,0.5027,48,3.05,8.04,0.63,7.96,105.19,0.2719,0.1579,0.2308,0.3395,0.18,300.77,161.98,110.23,0.0118,90,330,200,0.0553,290,240,40,0.0545,17,0.2763,13.5,12.19,21.16,1.01,3.49,,,,,,,,,,,,,,
RoomTrack_fmr1B_training1_20140122_124706.dat,0,600,21.14,10,11.34,0.19,1.05,0.47,10,11.34,0.19,3.52,2.84,0.5078,138,3.83,73,1.68,4.83,11.844,0.0306,0.4585,0.3655,0.1454,0.48,136.03,205.75,75.42,0.0008,0,160,100,0.0776,110,90,180,0.0001,18.5,0.3822,15.4,13.69,17.56,1.4,5.08,,,,,,,,,,,,,,
RoomTrack_fmr1B_training2_20140122_133817.dat,0,600,23.42,13,5.24,0.05,1.94,0.56,15,5.24,0.05,3.9,3.46,0.5898,213,7.6,25.52,0.62,2.16,18.014,0.045,0.64,0.2747,0.0403,0.67,111.72,202.15,53.2,0.0001,340,130,80,0.0921,120,60,140,0.0001,19.8,0.4737,17,15.69,13.31,2.98,15.1,,,,,,,,,,,,,,
RoomTrack_fmr1B_training3_20140122_143940.dat,0,600,20.26,13,0.5,0,-1,0.64,13,0.5,0,3.38,3.01,0.6349,118,4.23,14.28,0.59,2.39,14.212,0.0369,0.3629,0.5233,0.0769,0.55,144.59,226.21,61.78,0.0001,330,180,110,0.0687,160,90,190,0.0032,3.6,0.7058,17,16.56,8.66,3.88,28.01,,,,,,,,,,,,,,
RoomTrack_fmr1B_retention_20140123_111551.dat,0,600,19.2,15,78.83,2.65,7.04,0.78,36,78.83,2.65,3.2,2.8,0.4874,119,4.33,197.87,7.3,5.13,74.461,0.1814,0.2118,0.2633,0.3435,0.17,232.32,200.58,109.19,0.0137,20,300,170,0.0516,240,160,320,0.0021,18.5,0.3137,15.4,12.73,27.86,1.15,3.07,,fmr1B,KO,trained,110,19.2,74,36,51,78.83,197.87,-6.4,134,9.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoomTrack_fmr1C_pretraining_20140127_110039.dat,0,600,23.66,22,12.18,0.47,5.48,0.93,50,12.18,0.47,3.94,2.86,0.517,87,4.42,20.92,0.87,9.09,97.947,0.2333,0.2053,0.2645,0.2969,0.08,223.82,186.72,107.65,0.0148,70,10,210,0.038,290,140,310,0.0187,18.5,0.2753,15.4,12.49,24.65,0.95,3.04,,,,,,,,,,,,,,
RoomTrack_fmr1C_training1_20140127_111420.dat,0,600,21.91,10,13.81,0.3,3.65,0.46,13,13.81,0.3,3.65,3.28,0.5473,272,10.08,62.29,1.87,3.7,16.115,0.0378,0.0854,0.1975,0.6793,0.6,245.4,233.14,104.87,0.001,0,270,230,0.1173,260,220,290,0.0076,3.6,0.4616,15.4,15.46,12.3,2.54,10.95,,,,,,,,,,,,,,
RoomTrack_fmr1C_training2_20140127_120928.dat,0,600,23.53,6,32.96,0.91,2.37,0.25,7,32.96,0.91,3.92,3.59,0.6509,162,6.03,48.51,1.55,2.85,11.678,0.0301,0.2341,0.2922,0.4436,0.32,199.54,215.75,98.75,0.0003,340,270,160,0.054,250,180,310,0.0006,19.8,0.6242,17,16.81,5.94,2.37,26.34,,,,,,,,,,,,,,
RoomTrack_fmr1C_training3_20140127_130003.dat,0,600,27.35,6,72.13,2.51,2.22,0.22,7,72.13,2.51,4.56,4.55,0.7018,177,6.84,179.52,6.89,2.67,10.675,0.0269,0.0824,0.356,0.5346,0.55,234.61,222.48,109.37,0.0002,0,270,200,0.0688,250,190,290,0.0004,8.7,0.7759,17,16.9,5.15,3.64,45.73,,,,,,,,,,,,,,
RoomTrack_fmr1C_retention_20140128_111745.dat,0,600,21.11,11,9.18,0.58,28.05,0.52,35,9.18,0.58,3.52,3.15,0.5389,156,6.16,91.81,3.97,2.58,70.727,0.1887,0.0274,0.1202,0.6636,0.67,287.1,134.94,117.77,0.0021,100,320,280,0.0969,300,260,330,0.0006,8.7,0.6013,17,16.53,7.27,1.14,5.14,,fmr1C,KO,trained,117.56,21.11,62,35,33,9.18,91.81,-6.2,158.5,5.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoomTrack_fmr1E_pretraining_20140218_115807.dat,0,600,29.25,29,12.34,0.86,8.94,0.99,55,12.34,0.86,4.88,3.62,0.5665,67,3.63,79.64,4.32,4.84,106.524,0.2766,0.2682,0.2204,0.2348,0.08,29.5,173.98,100.88,0.0165,160,70,280,0.044,50,330,150,0.0222,18.5,0.2821,15.4,13.16,20.53,1.16,4.06,,,,,,,,,,,,,,
RoomTrack_fmr1E_training1_20140218_123458.dat,0,600,19.14,21,11.78,0.13,2.46,1.1,61,11.78,0.13,3.19,2.33,0.5592,62,1.99,39.23,1.18,8.38,118.57,0.2971,0.2985,0.2477,0.1567,0.13,79.34,178.11,94.39,0.0132,280,120,340,0.0402,340,300,120,0.0018,18.5,0.224,13.5,11.64,23.16,0.62,2.64,,,,,,,,,,,,,,
RoomTrack_fmr1E_training2_20140218_132827.dat,0,600,18.93,20,11.38,0.57,7.25,1.06,45,11.38,0.57,3.16,2.33,0.5576,62,1.54,16.65,0.73,1.29,84.438,0.2114,0.1693,0.3045,0.3148,0.17,244.83,185.03,112.74,0.0107,60,320,190,0.0504,310,180,340,0.0028,18.5,0.2727,13.5,12.06,23.15,1.03,3.37,,,,,,,,,,,,,,
RoomTrack_fmr1E_training3_20140218_141516.dat,0,600,19.61,19,18.72,0.69,2.89,0.97,45,18.72,0.69,3.27,2.36,0.5974,85,3.02,48.01,1.62,2.31,84.373,0.206,0.2379,0.2881,0.268,0.1,174.34,196.67,101.25,0.0112,330,260,120,0.0375,160,90,260,0.0001,18.5,0.2856,13.5,12.45,19.76,0.9,3.5,,,,,,,,,,,,,,
RoomTrack_fmr1E_retention_20140219_122908.dat,0,600,21,23,11.04,0.67,10.19,1.1,57,11.04,0.67,3.5,2.55,0.6267,66,2.33,50.74,1.86,3.3,111.661,0.2778,0.2409,0.2674,0.2139,0.01,113.6,186.61,101.88,0.018,300,230,70,0.0378,210,100,290,0.0364,17,0.4133,15.4,13.38,18.64,2.02,7.12,,fmr1E,KO,untrained,107.93,21,0,0,83,11.04,50.74,-10.5,152,10.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoomTrack_fmr1F_pretraining_20140220_114049.dat,0,600,28.23,32,9.71,0.69,7.11,1.13,71,9.71,0.69,4.7,3.5,0.5937,50,2.91,15.38,1.16,11.87,128.441,0.3063,0.1821,0.2536,0.258,0.11,303.5,171.82,108.13,0.0137,130,330,190,0.0431,190,160,340,0.0012,18.5,0.3194,13.5,12.49,20.03,1.09,3.91,,,,,,,,,,,,,,
RoomTrack_fmr1F_training1_20140220_120605.dat,0,600,19.73,18,0.5,0,-1,0.91,21,0.5,0,3.29,2.6,0.6274,74,2.73,31.96,1.35,2.32,31.457,0.0806,0.4399,0.3597,0.1197,0.42,129.66,211.25,74.04,0.0026,340,170,80,0.0564,130,60,180,0.0176,3.6,0.308,17,14.84,15.25,1.49,5.88,,,,,,,,,,,,,,
