sample,ind,time,region,APA,strained,pkmz,grim,rpl19,rRNA18S,fmr1,dlg4,fos,gria,grin,nsf,cam2kd,creb
1,a,AM,CA1,control,fmr1,34.39366913,34.91590118,25.28633499,30.21906662,35.09623718,32.51110458,35.08757019,31.94013214,33.88496399,32.09951401,29.61249924,34.20938492
1,a,AM,CA1,control,fmr1,35.51675034,35.00599289,25.3582325,30.33407211,35.39742661,32.34680939,34.5704422,31.64168739,33.67522049,32.13386917,29.73908424,34.47176743
1,a,AM,CA1,control,fmr1,34.76863861,NA,25.37283707,30.53484344,34.86592484,33.44107819,34.77575684,31.64043808,33.28103256,32.15503311,29.5500927,33.95316696
2,a wt,AM,CA1,trained,wt,35.10873413,35.14461517,26.09681129,29.42071915,35.02565002,31.77958298,35.88254929,32.11901474,33.62887192,33.29101944,NA,35.92036438
2,a wt,AM,CA1,trained,wt,35.32863998,33.78046799,26.11940002,29.67365265,34.90434265,32.70649338,34.95052719,32.14128876,34.00171661,33.24319839,30.81853294,35.79910278
2,a wt,AM,CA1,trained,wt,35.02077484,33.91615677,26.18650627,29.85342789,35.39118958,33.00142288,36.09975815,32.29737473,33.85724258,33.19265366,30.8448391,34.92241287
3,aa,AM,CA1,homecage,fmr1,-1,36.1022644,27.49328804,32.46775055,35.4286499,35.30776596,-1,36.07510376,-1,35.86608124,34.67392349,35.81853485
3,aa,AM,CA1,homecage,fmr1,-1,-1,27.56290627,32.47829437,-1,35.84073639,-1,NA,-1,36.76908493,33.76221848,-1
3,aa,AM,CA1,homecage,fmr1,-1,36.41785431,27.6060791,32.71356201,-1,36.12240601,-1,36.08692169,-1,35.42730331,32.73777008,36.52630997
4,ab,AM,CA1,control,wt,35.60031509,35.05534744,26.18714905,30.86865807,36.05906677,33.58101654,35.46473312,32.72268295,35.17217255,33.00120163,31.41390419,35.60655594
4,ab,AM,CA1,control,wt,36.07208633,34.98841095,26.2336483,30.88044548,36.86907959,33.83576202,36.75440598,33.00395203,34.73257828,33.44794083,31.76366425,34.97402191
4,ab,AM,CA1,control,wt,36.79415894,34.69942856,26.25535583,30.91288948,35.5079155,34.92933655,35.22304535,32.60487366,34.92827988,33.66003036,31.37135696,35.36597443
5,b ,AM,CA1,trained,fmr1,35.19299698,33.26704025,25.67910385,29.66630936,34.66852951,31.74290848,32.69345474,31.21673965,32.61043549,32.1282959,29.048563,34.58904266
5,b ,AM,CA1,trained,fmr1,34.45801544,32.93992996,25.75613594,29.83936691,-1,31.76086807,33.29618454,31.16774368,32.87746048,31.8684063,29.15455055,34.32603073
5,b ,AM,CA1,trained,fmr1,36.87175369,33.57135773,25.91711426,30.34740067,35.92282867,31.79302025,34.1638031,31.3805542,32.88615417,32.2310524,29.21072006,34.4057579
6,bb,AM,CA1,homecage,wt,36.25902939,34.39709091,25.01734734,30.71524811,36.35927582,33.70346832,-1,32.78371811,NA,32.93053818,30.36904335,36.61863708
6,bb,AM,CA1,homecage,wt,36.74049377,34.41238403,25.15224457,30.9249897,-1,33.87428284,-1,32.4211998,34.19941711,32.69785309,29.80059242,36.44102478
6,bb,AM,CA1,homecage,wt,35.01171875,NA,25.16147041,31.105196,36.98607635,34.69924164,35.90114594,32.22367477,34.18441391,32.52746964,29.9955616,35.72000885
7,c,AM,CA1,trained,fmr1,31.92525482,32.3731041,21.67822647,27.88591003,33.89502335,30.17798424,32.3525238,28.43951416,30.62298965,30.04490662,27.19781494,33.91402054
7,c,AM,CA1,trained,fmr1,31.98428345,32.1714859,21.8482151,28.24744225,33.29379654,31.10919571,32.17477036,28.51265144,30.78081703,29.59632492,27.2260704,33.37451935
7,c,AM,CA1,trained,fmr1,32.05524063,32.25984573,NA,28.48719788,32.78587723,31.73612976,31.65275574,28.95191383,30.40911484,29.46534538,27.25780487,33.10762405
8,e,AM,CA1,control,fmr1,34.16627884,34.2987442,23.74504471,29.49371719,-1,31.94034386,34.32913971,30.62171555,32.38261414,31.41954803,28.3870697,35.11117935
8,e,AM,CA1,control,fmr1,33.72503281,33.73220444,23.82416344,29.68119431,36.12281418,32.44537354,33.28641891,30.4480114,32.67612457,31.34647369,29.26740456,35.17696762
8,e,AM,CA1,control,fmr1,32.92292404,34.27136612,23.82784653,29.71619415,35.07122803,33.11277771,33.83457565,30.82012939,31.84430313,31.43053055,28.84091568,34.78606033
9,f,AM,CA1,trained,fmr1,33.99665833,34.80743027,26.92713547,29.65754509,-1,31.88967514,32.99898911,31.98436737,32.67530823,32.81846237,30.30427742,35.03543472
9,f,AM,CA1,trained,fmr1,34.52233124,34.32191849,26.96572113,29.77422523,-1,31.92656136,33.4188385,32.16069031,32.88799667,32.5671463,29.97748756,34.73733902
9,f,AM,CA1,trained,fmr1,36.19083786,34.39385223,27.08987236,30.07217407,-1,32.98074722,33.53692627,31.80257416,NA,32.5247345,31.37846375,34.14735031
10,g,AM,CA1,control,fmr1,-1,-1,29.02506256,32.56541061,-1,36.1000824,-1,-1,35.40699768,35.95949936,36.89426422,-1
10,g,AM,CA1,control,fmr1,-1,-1,29.04042625,33.15837097,-1,-1,-1,36.67822647,-1,35.44449234,34.79851151,-1
10,g,AM,CA1,control,fmr1,-1,NA,29.20014763,33.71173477,-1,-1,36.37121582,-1,-1,36.22865295,34.61470032,-1
11,h,AM,CA1,trained,fmr1,35.1064682,35.88806915,24.99666595,30.3984642,-1,33.24721527,36.33909988,32.471241,35.02077103,28.95805359,26.48491287,-1
11,h,AM,CA1,trained,fmr1,35.02765656,34.75188065,25.01341057,30.52676201,,33.08591461,36.64242935,33.35268784,34.32858658,28.85289955,26.41363525,-1
11,h,AM,CA1,trained,fmr1,35.23407745,35.14170456,25.10553169,30.69270515,35.41398239,34.32032776,-1,32.80789185,34.12373734,28.39167213,26.42033386,35.41879272
12,i,AM,CA1,control,fmr1,33.40670776,34.42627335,25.356987,27.28963852,35.20680237,31.42726707,32.58345413,31.30103493,32.67541504,31.63331413,29.18535423,35.00711441
12,i,AM,CA1,control,fmr1,33.5161438,33.57812119,25.39126205,27.41784859,36.16597366,32.00431061,32.95773697,31.25514412,32.7960701,31.70285797,29.24273109,33.99064255
12,i,AM,CA1,control,fmr1,33.12648392,34.67239761,25.42825699,27.57771492,-1,33.13804626,32.70829773,31.93151665,32.66700745,31.42938232,29.35725212,34.36237717
13,j,AM,CA1,trained,fmr1,-1,-1,26.06641006,31.27706337,-1,34.09114075,35.5922966,NA,35.37788773,35.16015244,32.62752914,-1
13,j,AM,CA1,trained,fmr1,36.25031662,36.3382988,26.11288071,31.51865005,-1,34.11493301,-1,35.04478073,36.68058395,35.60048294,32.23060226,-1
13,j,AM,CA1,trained,fmr1,-1,-1,26.13590813,31.53750038,-1,NA,35.80183411,35.04726791,-1,35.33598328,31.9313755,-1
14,k,AM,CA1,control,fmr1,NA,35.21615219,24.71700287,29.14350128,35.6959343,32.14849472,34.87552643,30.89865875,32.20980835,31.78087616,NA,35.23899078
14,k,AM,CA1,control,fmr1,34.08581161,33.66561127,24.71705246,29.4550209,35.07619858,32.39888382,34.09358215,30.89502335,32.84363937,31.69321632,NA,34.67104721
14,k,AM,CA1,control,fmr1,34.0885849,34.34098053,24.9011097,29.79554939,-1,32.53932953,35.08546448,NA,NA,32.2146759,NA,35.46726227
15,l,AM,CA1,homecage,fmr1,33.13221359,33.67156601,22.29276085,28.58495712,35.02333069,30.8942585,32.66046143,30.15450287,31.81878662,30.76903534,29.73454094,34.16941833
15,l,AM,CA1,homecage,fmr1,32.9446106,33.64560318,22.32614136,28.59757042,34.85005569,31.17963791,32.99792862,30.11562538,32.13533401,30.68552208,28.56841087,-1
15,l,AM,CA1,homecage,fmr1,32.9156723,34.15269089,22.35737228,28.62740707,36.733078,30.56968689,33.48636246,30.15426254,31.98723984,30.90734291,28.27717781,33.93981934
16,m,AM,CA1,homecage,fmr1,32.89335251,33.7843895,22.18624496,28.49596214,34.80257797,30.41364098,33.2542038,29.42298508,31.99710274,30.83768463,27.80051231,34.86734009
16,m,AM,CA1,homecage,fmr1,33.07549286,34.26404953,22.26617241,28.69901466,34.89555359,30.96222305,32.7967186,29.64540672,31.5157547,30.26643372,27.95259285,35.25917816
16,m,AM,CA1,homecage,fmr1,32.84685135,33.2397728,22.37810516,28.73302841,34.69624329,32.25895691,32.67724609,30.16249657,31.3951664,30.19511986,28.01671982,34.4638443
17,n,AM,CA1,homecage,fmr1,34.41589355,33.99145508,24.69122124,29.30193901,36.05746078,31.37263107,33.86696625,30.72513962,32.46445465,31.91544533,30.42393875,34.28853226
17,n,AM,CA1,homecage,fmr1,33.98643112,34.94824982,24.86523438,29.31418228,36.12289047,31.25820541,34.2351265,31.39292526,32.79298401,31.84174919,29.4126873,34.53578949
17,n,AM,CA1,homecage,fmr1,34.41339874,34.31892776,24.87329674,29.36832428,35.58856964,31.76422882,34.3105011,31.06002998,33.11882401,31.90192223,29.37517738,35.5952034
18,BL9,AM,CA3,trained,wt,36.13518143,36.94115448,34.14148331,27.74269676,NA,34.71660614,-1,-1,36.95082855,34.95410919,36.25049973,37.84565353
18,BL9,AM,CA3,trained,wt,-1,37.66383362,34.82289124,27.79372215,NA,34.14622879,-1,-1,39.00941086,35.40790558,35.55783463,37.84565353
18,BL9,AM,CA3,trained,wt,35.93574524,36.59036255,35.14818954,27.70422745,NA,35.50328827,-1,35.13872147,37.5964241,37.64493179,34.75624084,37.84565353
19,BL8,AM,CA3,control,wt,34.27355194,34.47057343,32.72377777,26.46113586,36.89368439,32.89772415,-1,33.44119263,34.8442688,33.63656998,32.97032928,37.37688065
19,BL8,AM,CA3,control,wt,34.34864426,34.36867905,33.228405,26.49439621,36.98192978,33.32229996,-1,33.57399368,36.32800674,34.59444809,33.7778244,37.37688065
19,BL8,AM,CA3,control,wt,34.9561348,35.26099396,33.20549774,26.25679779,-1,33.27589798,-1,33.22376633,34.93360138,33.39484024,34.15133667,37.37688065
20,BL14,AM,CA3,control,wt,33.86361313,34.47029495,32.62807465,25.26878738,35.65733719,32.20025253,35.28689194,32.34385681,34.49904251,NA,33.14628601,37.55582047
20,BL14,AM,CA3,control,wt,33.7420845,34.60627747,32.36425018,24.95118523,35.02891159,32.12592697,37.97874832,32.32107544,34.28614426,32.90104294,32.13785553,37.55582047
20,BL14,AM,CA3,control,wt,34.38090134,35.45249557,32.84575653,25.29510307,-1,33.48905182,36.50577164,32.75562668,34.83028412,32.8205719,33.55746078,37.55582047
21,BL4,AM,CA3,control,wt,33.61533356,37.33334732,32.86355591,24.64605713,36.79023743,33.16196823,35.73820877,33.58546829,35.2698822,33.51062393,35.17538452,38.10040665
21,BL4,AM,CA3,control,wt,33.33954239,37.90647125,33.11227036,24.70475197,36.43304443,34.16299438,NA,34.42336655,36.43714905,35.05894852,34.89270401,38.10040665
21,BL4,AM,CA3,control,wt,33.53642273,36.31224823,32.89692688,24.5988884,-1,33.71998978,-1,34.59929276,36.79864883,34.52437973,34.75638199,38.10040665
22,BL19,PM,CA3,trained,wt,34.83725357,35.68228149,32.8461113,25.94763184,36.97375107,33.95555496,36.16840363,33.50230408,34.76177597,32.37744141,33.83771515,36.33395004
22,BL19,PM,CA3,trained,wt,34.08893967,34.83036041,33.75232315,26.17086792,-1,34.34076309,36.74823761,33.89772415,34.10517883,32.39848328,33.14484406,36.33395004
22,BL19,PM,CA3,trained,wt,33.40499496,34.68021774,33.4199791,26.08548164,-1,33.85033798,36.84168243,33.17932892,34.98590088,32.38158035,34.30818558,36.33395004
23,BL6,AM,CA3,control,wt,34.34453964,35.27561188,34.05110931,26.21767235,-1,33.76992798,34.55944443,33.78162384,34.80613708,33.43474579,33.60600281,-1
23,BL6,AM,CA3,control,wt,34.13310242,-1,33.54439545,26.12641335,-1,34.68116379,-1,33.01615524,35.46757126,33.69248581,33.74636078,-1
23,BL6,AM,CA3,control,wt,35.66322708,35.73962784,33.1101799,26.08586884,-1,33.4076767,37.61877441,33.13617706,35.13102341,32.98195648,33.23437119,-1
24,BL18,AM,CA3,control,wt,33.39032364,35.99063873,34.346241,25.86375237,37.22050476,33.51720428,36.97327805,32.60136414,35.06770325,33.41893387,33.76395416,38.09070587
24,BL18,AM,CA3,control,wt,35.08797836,36.20507431,33.97592926,25.91677666,-1,34.0884552,36.42063141,32.6306572,34.6476059,34.02962875,33.94060516,38.09070587
24,BL18,AM,CA3,control,wt,35.30265045,36.4380722,33.88893509,25.9715519,-1,33.17728043,38.19163132,32.66557312,35.52327347,33.90784073,33.6941452,38.09070587
25,BL11,AM,CA3,trained,wt,-1,36.09133911,32.6873436,25.70856285,37.19711304,33.60014343,36.38162613,33.22485733,34.80456924,32.40840912,33.25908661,36.91337585
25,BL11,AM,CA3,trained,wt,33.08098984,37.30640793,32.6400528,25.73044777,-1,34.76162338,36.54043579,32.86436462,34.93787384,32.77915192,33.86870956,36.91337585
25,BL11,AM,CA3,trained,wt,35.5160675,35.57703781,32.71947861,25.96274567,-1,34.68080521,-1,33.43960953,34.94337082,32.58694839,33.42790604,36.91337585
26,BL3,AM,CA3,trained,wt,33.54331207,-1,35.25624084,27.04544258,35.63555527,33.40905762,-1,34.76202393,36.93151855,37.5039978,34.96121597,38.40879822
26,BL3,AM,CA3,trained,wt,-1,38.4359169,34.95412445,27.16280556,-1,33.7072258,-1,35.32074356,37.36230469,37.53915024,NA,38.40879822
26,BL3,AM,CA3,trained,wt,33.26221466,36.13354492,33.44205093,27.18875313,-1,33.5162735,-1,34.35187149,36.91371918,,34.92180634,38.40879822
27,BL5,AM,CA3,trained,wt,34.52587128,35.98884964,34.37549973,26.06437302,37.05470657,32.09355927,NA,35.68190002,35.93502808,35.89298248,34.84538269,-1
27,BL5,AM,CA3,trained,wt,33.68746948,35.77192688,35.09202194,26.17713547,-1,34.30442047,-1,34.78899002,37.41747665,33.18811798,35.97921371,-1
27,BL5,AM,CA3,trained,wt,35.3698349,35.52247238,33.71107864,26.13623047,-1,33.73475647,36.54936981,34.58081818,37.47360229,34.43326569,34.36956024,-1
28,BL13,PM,CA3,trained,wt,35.67201233,NA,35.94898605,27.33522797,NA,35.147892,-1,33.75738144,36.16110992,35.01820755,35.4927597,-1
28,BL13,PM,CA3,trained,wt,35.56294632,37.7396698,34.68330765,27.45189285,NA,34.50664139,-1,33.52832031,35.85255051,37.4797287,35.10253906,-1
28,BL13,PM,CA3,trained,wt,33.23603439,37.71271133,37.06475067,27.4907608,NA,34.752491,-1,32.92059326,36.84466171,33.60026169,-1,-1
29,BL10,PM,CA3,control,wt,34.4622345,36.09513092,33.88757324,27.12911034,35.62992477,33.5124588,-1,33.47904205,36.15276718,34.96351242,34.17064667,38.21202469
29,BL10,PM,CA3,control,wt,33.81954575,35.1338768,34.71566391,27.21183205,36.8637085,32.86001587,-1,34.01112747,35.69164276,34.58345413,34.84616852,38.21202469
29,BL10,PM,CA3,control,wt,33.68861771,37.4053688,33.24342346,27.10674477,-1,32.88087845,-1,33.9585228,38.21014023,33.8646698,34.60525131,38.21202469
30,BL12,AM,CA3,control,wt,36.31508636,-1,35.02496338,27.78285408,NA,35.00265884,-1,35.27085495,38.34354782,35.46022034,36.85535431,-1
30,BL12,AM,CA3,control,wt,35.57952499,35.83836746,34.63720322,27.89772987,NA,35.55661392,-1,35.62744904,36.90258026,34.88263702,37.00722122,-1
30,BL12,AM,CA3,control,wt,33.6182785,37.60982895,34.71279144,27.85821342,NA,34.78832626,-1,35.85923004,37.32572937,36.33779907,-1,-1
31,BL15,PM,CA3,trained,wt,30.43812943,32.69776917,31.38059425,23.50201988,33.80243683,29.90502167,36.32222366,31.68714142,NA,31.5080986,31.79941559,36.40110779
31,BL15,PM,CA3,trained,wt,30.94237518,32.83696747,31.43347359,23.50426674,33.73169708,30.39655876,-1,NA,33.52206421,31.48274803,31.935009,36.40110779
31,BL15,PM,CA3,trained,wt,30.44612694,32.75319672,31.75470352,23.4409523,-1,29.94914246,-1,31.67978096,33.53420639,31.49042892,32.30585861,36.40110779
32,BL7,AM,CA3,trained,wt,31.43811035,33.307724,32.40634537,24.59630775,35.29455185,31.56204033,36.3967247,32.20831299,33.28239059,31.68802834,31.32732582,36.59315872
32,BL7,AM,CA3,trained,wt,31.26288986,33.35445404,31.70765305,24.65653229,34.95582962,31.0411396,36.46807098,31.91287422,33.73110962,31.90779686,31.74465561,36.59315872
32,BL7,AM,CA3,trained,wt,30.85464096,33.48236465,32.07854843,24.57540321,-1,30.97060204,35.31653214,31.75483131,34.2669754,31.40472794,31.49837685,36.59315872
33,BL1,AM,CA3,trained,wt,36.9444046,-1,32.98179245,22.86705589,NA,34.29347229,NA,32.57772446,34.56993103,35.13241959,NA,36.87253189
33,BL1,AM,CA3,trained,wt,33.74009323,-1,32.83328247,22.63335609,NA,34.51378632,33.40232849,32.57380295,34.42208862,34.37426376,NA,36.87253189
33,BL1,AM,CA3,trained,wt,36.29188538,37.94684982,32.94709778,22.92396164,NA,36.58244705,33.42340851,32.87994003,34.87411118,33.84799194,NA,36.87253189
34,BL2,AM,CA3,trained,wt,34.46593094,-1,32.78149033,22.96884918,NA,34.195961,35.76764297,32.25848389,34.66552353,33.24198151,NA,37.77234268
34,BL2,AM,CA3,trained,wt,34.67621994,-1,32.58041382,23.08206558,NA,35.81884766,35.78489304,32.60474014,33.97161865,33.09687424,NA,37.77234268
34,BL2,AM,CA3,trained,wt,34.71211243,-1,33.39638901,22.9432106,NA,35.08514404,35.60695267,32.35122299,33.96400452,33.21496964,NA,37.77234268