sample,ind,time,region,APA,strained,group,year,pkmz,grim,rpl19
1,a,AM,CA1,control,fmr1,1,2014,34.39366913,34.91590118,25.28633499
1,a,AM,CA1,control,fmr1,1,2014,35.51675034,35.00599289,25.3582325
1,a,AM,CA1,control,fmr1,1,2014,34.76863861,NA,25.37283707
8,e,AM,CA1,control,fmr1,1,2014,34.16627884,34.2987442,23.74504471
8,e,AM,CA1,control,fmr1,1,2014,33.72503281,33.73220444,23.82416344
8,e,AM,CA1,control,fmr1,1,2014,32.92292404,34.27136612,23.82784653
10,g,AM,CA1,control,fmr1,1,2014,-1,-1,29.02506256
10,g,AM,CA1,control,fmr1,1,2014,-1,-1,29.04042625
10,g,AM,CA1,control,fmr1,1,2014,-1,NA,29.20014763
12,i,AM,CA1,control,fmr1,1,2014,33.40670776,34.42627335,25.356987
12,i,AM,CA1,control,fmr1,1,2014,33.5161438,33.57812119,25.39126205
12,i,AM,CA1,control,fmr1,1,2014,33.12648392,34.67239761,25.42825699
14,k,AM,CA1,control,fmr1,1,2014,NA,35.21615219,24.71700287
14,k,AM,CA1,control,fmr1,1,2014,34.08581161,33.66561127,24.71705246
14,k,AM,CA1,control,fmr1,1,2014,34.0885849,34.34098053,24.9011097
55,a,AM,CA1,control,fmr1,1,2014,34.39366913,34.91590118,25.28633499
55,a,AM,CA1,control,fmr1,1,2014,35.51675034,35.00599289,25.3582325
55,a,AM,CA1,control,fmr1,1,2014,34.76863861,NA,25.37283707
56,e,AM,CA1,control,fmr1,1,2014,34.16627884,34.2987442,23.74504471
56,e,AM,CA1,control,fmr1,1,2014,33.72503281,33.73220444,23.82416344
56,e,AM,CA1,control,fmr1,1,2014,32.92292404,34.27136612,23.82784653
57,g,AM,CA1,control,fmr1,1,2014,-1,-1,29.02506256
57,g,AM,CA1,control,fmr1,1,2014,-1,-1,29.04042625
57,g,AM,CA1,control,fmr1,1,2014,-1,NA,29.20014763
58,i,AM,CA1,control,fmr1,1,2014,33.40670776,34.42627335,25.356987
58,i,AM,CA1,control,fmr1,1,2014,33.5161438,33.57812119,25.39126205
58,i,AM,CA1,control,fmr1,1,2014,33.12648392,34.67239761,25.42825699
59,k,AM,CA1,control,fmr1,1,2014,NA,35.21615219,24.71700287
59,k,AM,CA1,control,fmr1,1,2014,34.08581161,33.66561127,24.71705246
59,k,AM,CA1,control,fmr1,1,2014,34.0885849,34.34098053,24.9011097
5,b ,AM,CA1,trained,fmr1,8,2014,35.19299698,33.26704025,25.67910385
5,b ,AM,CA1,trained,fmr1,8,2014,34.45801544,32.93992996,25.75613594
5,b ,AM,CA1,trained,fmr1,8,2014,36.87175369,33.57135773,25.91711426
7,c,AM,CA1,trained,fmr1,8,2014,31.92525482,32.3731041,21.67822647
7,c,AM,CA1,trained,fmr1,8,2014,31.98428345,32.1714859,21.8482151
7,c,AM,CA1,trained,fmr1,8,2014,32.05524063,32.25984573,NA
9,f,AM,CA1,trained,fmr1,8,2014,33.99665833,34.80743027,26.92713547
9,f,AM,CA1,trained,fmr1,8,2014,34.52233124,34.32191849,26.96572113
9,f,AM,CA1,trained,fmr1,8,2014,36.19083786,34.39385223,27.08987236
11,h,AM,CA1,trained,fmr1,8,2014,35.1064682,35.88806915,24.99666595
11,h,AM,CA1,trained,fmr1,8,2014,35.02765656,34.75188065,25.01341057
11,h,AM,CA1,trained,fmr1,8,2014,35.23407745,35.14170456,25.10553169
13,j,AM,CA1,trained,fmr1,8,2014,-1,-1,26.06641006
13,j,AM,CA1,trained,fmr1,8,2014,36.25031662,36.3382988,26.11288071
13,j,AM,CA1,trained,fmr1,8,2014,-1,-1,26.13590813
61,b ,AM,CA1,trained,fmr1,8,2014,35.19299698,33.26704025,25.67910385
61,b ,AM,CA1,trained,fmr1,8,2014,34.45801544,32.93992996,25.75613594
61,b ,AM,CA1,trained,fmr1,8,2014,36.87175369,33.57135773,25.91711426
62,c,AM,CA1,trained,fmr1,8,2014,31.92525482,32.3731041,21.67822647
62,c,AM,CA1,trained,fmr1,8,2014,31.98428345,32.1714859,21.8482151
62,c,AM,CA1,trained,fmr1,8,2014,32.05524063,32.25984573,NA
63,f,AM,CA1,trained,fmr1,8,2014,33.99665833,34.80743027,26.92713547
63,f,AM,CA1,trained,fmr1,8,2014,34.52233124,34.32191849,26.96572113
63,f,AM,CA1,trained,fmr1,8,2014,36.19083786,34.39385223,27.08987236
64,h,AM,CA1,trained,fmr1,8,2014,35.1064682,35.88806915,24.99666595
64,h,AM,CA1,trained,fmr1,8,2014,35.02765656,34.75188065,25.01341057
64,h,AM,CA1,trained,fmr1,8,2014,35.23407745,35.14170456,25.10553169
65,j,AM,CA1,trained,fmr1,8,2014,-1,-1,26.06641006
65,j,AM,CA1,trained,fmr1,8,2014,36.25031662,36.3382988,26.11288071
65,j,AM,CA1,trained,fmr1,8,2014,-1,-1,26.13590813
4,ab,AM,CA1,control,wt,2,2014,35.60031509,35.05534744,26.18714905
4,ab,AM,CA1,control,wt,2,2014,36.07208633,34.98841095,26.2336483
4,ab,AM,CA1,control,wt,2,2014,36.79415894,34.69942856,26.25535583
38,BL16,AM,CA1,control,wt,3,2013,33.78559875,34.77597427,28.48207474
38,BL16,AM,CA1,control,wt,3,2013,33.54773712,33.91501236,28.46533203
38,BL16,AM,CA1,control,wt,3,2013,33.69449615,35.29069138,28.18232918
42,BL4,AM,CA1,control,wt,3,2013,36.27683258,-1,29.45595741
42,BL4,AM,CA1,control,wt,3,2013,37.97496414,35.61506271,29.31846809
42,BL4,AM,CA1,control,wt,3,2013,38.06683731,36.7565918,NA
43,BL12,AM,CA1,control,wt,3,2013,35.83820724,36.86261368,NA
43,BL12,AM,CA1,control,wt,3,2013,37.9685936,35.50193024,30.32250404
43,BL12,AM,CA1,control,wt,3,2013,35.54870987,36.27035522,30.30216408
44,BL10,PM,CA1,control,wt,3,2013,37.72859573,37.7696991,31.32437515
44,BL10,PM,CA1,control,wt,3,2013,-1,-1,30.99177551
44,BL10,PM,CA1,control,wt,3,2013,36.21240997,-1,31.2183609
45,BL8,AM,CA1,control,wt,3,2013,NA,36.93864441,34.59643173
45,BL8,AM,CA1,control,wt,3,2013,NA,-1,33.1267128
45,BL8,AM,CA1,control,wt,3,2013,NA,35.69929504,32.97315216
50,BL18,AM,CA1,control,wt,3,2013,35.33703613,36.84502411,30.25627708
50,BL18,AM,CA1,control,wt,3,2013,35.48984528,36.7335434,29.89768028
50,BL18,AM,CA1,control,wt,3,2013,35.43572235,35.21102142,30.3367672
51,BL14,AM,CA1,control,wt,3,2013,36.25089645,35.17491531,29.12389374
51,BL14,AM,CA1,control,wt,3,2013,36.00594711,36.24655151,29.32318687
51,BL14,AM,CA1,control,wt,3,2013,36.21489334,34.41275787,28.80682182
53,BL6,AM,CA1,control,wt,3,2013,34.69125748,34.93935013,28.57095337
53,BL6,AM,CA1,control,wt,3,2013,37.30381012,34.29908371,28.72323799
53,BL6,AM,CA1,control,wt,3,2013,35.63079453,35.82927322,28.96980667
54,ab,AM,CA1,control,wt,2,2014,35.60031509,35.05534744,26.18714905
54,ab,AM,CA1,control,wt,2,2014,36.07208633,34.98841095,26.2336483
54,ab,AM,CA1,control,wt,2,2014,36.79415894,34.69942856,26.25535583
2,a wt,AM,CA1,trained,wt,4,2014,35.10873413,35.14461517,26.09681129
2,a wt,AM,CA1,trained,wt,4,2014,35.32863998,33.78046799,26.11940002
2,a wt,AM,CA1,trained,wt,4,2014,35.02077484,33.91615677,26.18650627
35,BL11,AM,CA1,trained,wt,5,2013,36.0647049,34.02370834,28.77085495
35,BL11,AM,CA1,trained,wt,5,2013,35.28365707,-1,28.94545364
35,BL11,AM,CA1,trained,wt,5,2013,35.23236847,35.43574142,28.92487335
36,BL7,AM,CA1,trained,wt,5,2013,34.13155746,33.64958954,28.108881
36,BL7,AM,CA1,trained,wt,5,2013,35.27114105,33.43871307,28.12989044
36,BL7,AM,CA1,trained,wt,5,2013,34.44876099,33.27784729,28.46445847
37,BL2,AM,CA1,trained,wt,5,2013,34.56593323,-1,30.79911995
37,BL2,AM,CA1,trained,wt,5,2013,34.89548111,-1,31.23608971
37,BL2,AM,CA1,trained,wt,5,2013,34.53607559,-1,30.48181534
39,BL19,PM,CA1,trained,wt,5,2013,-1,35.82953644,28.79901886
39,BL19,PM,CA1,trained,wt,5,2013,-1,37.91650391,29.71682549
39,BL19,PM,CA1,trained,wt,5,2013,36.38460541,36.31776428,29.68202209
40,BL3,AM,CA1,trained,wt,5,2013,36.56921768,-1,29.8723259
40,BL3,AM,CA1,trained,wt,5,2013,37.77781296,35.97529602,29.98677635
40,BL3,AM,CA1,trained,wt,5,2013,35.84762573,-1,30.00517654
41,BL13,PM,CA1,trained,wt,5,2013,35.09890747,34.20962524,28.98794365
41,BL13,PM,CA1,trained,wt,5,2013,35.75272369,33.55444717,28.61257172
41,BL13,PM,CA1,trained,wt,5,2013,34.62456131,35.2699852,28.96902847
46,BL1,AM,CA1,trained,wt,5,2013,-1,36.69838715,30.23171234
46,BL1,AM,CA1,trained,wt,5,2013,-1,35.47835541,29.86355972
46,BL1,AM,CA1,trained,wt,5,2013,-1,36.25488663,29.86397552
47,BL15,PM,CA1,trained,wt,5,2013,33.0075798,31.37648392,25.9298954
47,BL15,PM,CA1,trained,wt,5,2013,33.062603,31.14772224,26.23864746
47,BL15,PM,CA1,trained,wt,5,2013,32.8705101,31.30413437,26.12080574
48,BL9,AM,CA1,trained,wt,5,2013,34.37045288,32.73983765,26.90160179
48,BL9,AM,CA1,trained,wt,5,2013,34.68447495,32.88922501,26.95425797
48,BL9,AM,CA1,trained,wt,5,2013,33.94664001,32.94205475,27.11223984
49,BL5,AM,CA1,trained,wt,5,2013,36.66988754,-1,31.2286129
49,BL5,AM,CA1,trained,wt,5,2013,-1,37.65876389,30.74606133
49,BL5,AM,CA1,trained,wt,5,2013,37.69877625,37.65061951,31.31110954
52,BL17,AM,CA1,trained,wt,5,2013,33.00233459,32.70794296,27.62348175
52,BL17,AM,CA1,trained,wt,5,2013,32.56336594,32.75511932,27.56990814
52,BL17,AM,CA1,trained,wt,5,2013,33.31090927,33.1163559,27.60569954
60,a wt,AM,CA1,trained,wt,4,2014,35.10873413,35.14461517,26.09681129
60,a wt,AM,CA1,trained,wt,4,2014,35.32863998,33.78046799,26.11940002
60,a wt,AM,CA1,trained,wt,4,2014,35.02077484,33.91615677,26.18650627
