"","count","gene","sample","ind","time","region","APA","strained","group"
"278",11,"grim","36","BL7","AM","CA1","trained","wt","5"
"279",12,"grim","36","BL7","AM","CA1","trained","wt","5"
"280",0,"grim","37","BL2","AM","CA1","trained","wt","5"
"281",0,"grim","37","BL2","AM","CA1","trained","wt","5"
"282",0,"grim","37","BL2","AM","CA1","trained","wt","5"
"283",2,"grim","39","BL19","PM","CA1","trained","wt","5"
"284",1,"grim","39","BL19","PM","CA1","trained","wt","5"
"285",2,"grim","39","BL19","PM","CA1","trained","wt","5"
"286",0,"grim","40","BL3","AM","CA1","trained","wt","5"
"287",2,"grim","40","BL3","AM","CA1","trained","wt","5"
"288",0,"grim","40","BL3","AM","CA1","trained","wt","5"
"289",7,"grim","41","BL13","PM","CA1","trained","wt","5"
"290",10,"grim","41","BL13","PM","CA1","trained","wt","5"
"291",3,"grim","41","BL13","PM","CA1","trained","wt","5"
"292",1,"grim","46","BL1","AM","CA1","trained","wt","5"
"293",3,"grim","46","BL1","AM","CA1","trained","wt","5"
"294",2,"grim","46","BL1","AM","CA1","trained","wt","5"
"295",44,"grim","47","BL15","PM","CA1","trained","wt","5"
"296",51,"grim","47","BL15","PM","CA1","trained","wt","5"
"297",46,"grim","47","BL15","PM","CA1","trained","wt","5"
"298",18,"grim","48","BL9","AM","CA1","trained","wt","5"
"299",16,"grim","48","BL9","AM","CA1","trained","wt","5"
"300",15,"grim","48","BL9","AM","CA1","trained","wt","5"
"301",0,"grim","49","BL5","AM","CA1","trained","wt","5"
"302",1,"grim","49","BL5","AM","CA1","trained","wt","5"
"303",1,"grim","49","BL5","AM","CA1","trained","wt","5"
"304",18,"grim","52","BL17","AM","CA1","trained","wt","5"
"305",17,"grim","52","BL17","AM","CA1","trained","wt","5"
"306",14,"grim","52","BL17","AM","CA1","trained","wt","5"
"307",3,"grim","60","a wt","AM","CA1","trained","wt","4"
"308",9,"grim","60","a wt","AM","CA1","trained","wt","4"
"309",8,"grim","60","a wt","AM","CA1","trained","wt","4"
"310",5,"grim","19","BL 8","AM","CA3","control","wt","6"
"311",6,"grim","19","BL 8","AM","CA3","control","wt","6"
"312",3,"grim","19","BL 8","AM","CA3","control","wt","6"
"313",5,"grim","20","BL 14","AM","CA3","control","wt","6"
"314",5,"grim","20","BL 14","AM","CA3","control","wt","6"
"315",3,"grim","20","BL 14","AM","CA3","control","wt","6"
"316",1,"grim","21","BL 4","AM","CA3","control","wt","6"
"317",1,"grim","21","BL 4","AM","CA3","control","wt","6"
"318",2,"grim","21","BL 4","AM","CA3","control","wt","6"
"319",3,"grim","23","BL 6","AM","CA3","control","wt","6"
"320",0,"grim","23","BL 6","AM","CA3","control","wt","6"
"321",2,"grim","23","BL 6","AM","CA3","control","wt","6"
"322",2,"grim","24","BL 18","AM","CA3","control","wt","6"
"323",2,"grim","24","BL 18","AM","CA3","control","wt","6"
"324",1,"grim","24","BL 18","AM","CA3","control","wt","6"
"325",2,"grim","29","BL 10","PM","CA3","control","wt","6"
"326",4,"grim","29","BL 10","PM","CA3","control","wt","6"
"327",1,"grim","29","BL 10","PM","CA3","control","wt","6"
"328",0,"grim","30","BL 12","AM","CA3","control","wt","6"
"329",2,"grim","30","BL 12","AM","CA3","control","wt","6"
"330",1,"grim","30","BL 12","AM","CA3","control","wt","6"
"331",1,"grim","18","BL 9","AM","CA3","trained","wt","7"
"332",1,"grim","18","BL 9","AM","CA3","trained","wt","7"
"333",1,"grim","18","BL 9","AM","CA3","trained","wt","7"
"334",2,"grim","22","BL 19","PM","CA3","trained","wt","7"
"335",4,"grim","22","BL 19","PM","CA3","trained","wt","7"
"336",5,"grim","22","BL 19","PM","CA3","trained","wt","7"
"337",2,"grim","25","BL 11","AM","CA3","trained","wt","7"
"338",1,"grim","25","BL 11","AM","CA3","trained","wt","7"
"339",3,"grim","25","BL 11","AM","CA3","trained","wt","7"
"340",0,"grim","26","BL 3","AM","CA3","trained","wt","7"
"341",0,"grim","26","BL 3","AM","CA3","trained","wt","7"
"342",2,"grim","26","BL 3","AM","CA3","trained","wt","7"
"343",2,"grim","27","BL 5","AM","CA3","trained","wt","7"
"344",2,"grim","27","BL 5","AM","CA3","trained","wt","7"
"345",3,"grim","27","BL 5","AM","CA3","trained","wt","7"
"347",1,"grim","28","BL 13","PM","CA3","trained","wt","7"
"348",1,"grim","28","BL 13","PM","CA3","trained","wt","7"
"349",18,"grim","31","BL 15","PM","CA3","trained","wt","7"
"350",16,"grim","31","BL 15","PM","CA3","trained","wt","7"
"351",17,"grim","31","BL 15","PM","CA3","trained","wt","7"
"352",12,"grim","32","BL 7","AM","CA3","trained","wt","7"
"353",12,"grim","32","BL 7","AM","CA3","trained","wt","7"
"354",11,"grim","32","BL 7","AM","CA3","trained","wt","7"
"355",0,"grim","33","BL 1","AM","CA3","trained","wt","7"
"356",0,"grim","33","BL 1","AM","CA3","trained","wt","7"
"357",1,"grim","33","BL 1","AM","CA3","trained","wt","7"
"358",0,"grim","34","BL 2","AM","CA3","trained","wt","7"
"359",0,"grim","34","BL 2","AM","CA3","trained","wt","7"
"360",0,"grim","34","BL 2","AM","CA3","trained","wt","7"
"361",2082,"rpl19","1","a","AM","CA1","control","fmr1","1"
"362",1987,"rpl19","1","a","AM","CA1","control","fmr1","1"
"363",1968,"rpl19","1","a","AM","CA1","control","fmr1","1"
"364",5690,"rpl19","8","e","AM","CA1","control","fmr1","1"
"365",5404,"rpl19","8","e","AM","CA1","control","fmr1","1"
"366",5391,"rpl19","8","e","AM","CA1","control","fmr1","1"
"367",182,"rpl19","10","g","AM","CA1","control","fmr1","1"
"368",180,"rpl19","10","g","AM","CA1","control","fmr1","1"
"369",162,"rpl19","10","g","AM","CA1","control","fmr1","1"
"370",1988,"rpl19","12","i","AM","CA1","control","fmr1","1"
"371",1944,"rpl19","12","i","AM","CA1","control","fmr1","1"
"372",1898,"rpl19","12","i","AM","CA1","control","fmr1","1"
"373",3018,"rpl19","14","k","AM","CA1","control","fmr1","1"
"374",3018,"rpl19","14","k","AM","CA1","control","fmr1","1"
"375",2677,"rpl19","14","k","AM","CA1","control","fmr1","1"
"376",2082,"rpl19","55","a","AM","CA1","control","fmr1","1"
"377",1987,"rpl19","55","a","AM","CA1","control","fmr1","1"
"378",1968,"rpl19","55","a","AM","CA1","control","fmr1","1"
"379",5690,"rpl19","56","e","AM","CA1","control","fmr1","1"
"380",5404,"rpl19","56","e","AM","CA1","control","fmr1","1"
"381",5391,"rpl19","56","e","AM","CA1","control","fmr1","1"
"382",182,"rpl19","57","g","AM","CA1","control","fmr1","1"
"383",180,"rpl19","57","g","AM","CA1","control","fmr1","1"
"384",162,"rpl19","57","g","AM","CA1","control","fmr1","1"
"385",1988,"rpl19","58","i","AM","CA1","control","fmr1","1"
"386",1944,"rpl19","58","i","AM","CA1","control","fmr1","1"
"387",1898,"rpl19","58","i","AM","CA1","control","fmr1","1"
"388",3018,"rpl19","59","k","AM","CA1","control","fmr1","1"
"389",3018,"rpl19","59","k","AM","CA1","control","fmr1","1"
"390",2677,"rpl19","59","k","AM","CA1","control","fmr1","1"
"391",1611,"rpl19","5","b ","AM","CA1","trained","fmr1","1"
"392",1533,"rpl19","5","b ","AM","CA1","trained","fmr1","1"
"393",1380,"rpl19","5","b ","AM","CA1","trained","fmr1","1"
"394",21912,"rpl19","7","c","AM","CA1","trained","fmr1","1"
"395",19612,"rpl19","7","c","AM","CA1","trained","fmr1","1"
"397",714,"rpl19","9","f","AM","CA1","trained","fmr1","1"
"398",696,"rpl19","9","f","AM","CA1","trained","fmr1","1"
"399",642,"rpl19","9","f","AM","CA1","trained","fmr1","1"
"400",2515,"rpl19","11","h","AM","CA1","trained","fmr1","1"
"401",2488,"rpl19","11","h","AM","CA1","trained","fmr1","1"
"402",2343,"rpl19","11","h","AM","CA1","trained","fmr1","1"
"403",1252,"rpl19","13","j","AM","CA1","trained","fmr1","1"
"404",1214,"rpl19","13","j","AM","CA1","trained","fmr1","1"
"405",1196,"rpl19","13","j","AM","CA1","trained","fmr1","1"
"406",1611,"rpl19","61","b ","AM","CA1","trained","fmr1","1"
"407",1533,"rpl19","61","b ","AM","CA1","trained","fmr1","1"
"408",1380,"rpl19","61","b ","AM","CA1","trained","fmr1","1"
"409",21912,"rpl19","62","c","AM","CA1","trained","fmr1","1"
"410",19612,"rpl19","62","c","AM","CA1","trained","fmr1","1"
"412",714,"rpl19","63","f","AM","CA1","trained","fmr1","1"
"413",696,"rpl19","63","f","AM","CA1","trained","fmr1","1"
"414",642,"rpl19","63","f","AM","CA1","trained","fmr1","1"
"415",2515,"rpl19","64","h","AM","CA1","trained","fmr1","1"
"416",2488,"rpl19","64","h","AM","CA1","trained","fmr1","1"
"417",2343,"rpl19","64","h","AM","CA1","trained","fmr1","1"
"418",1252,"rpl19","65","j","AM","CA1","trained","fmr1","1"
"419",1214,"rpl19","65","j","AM","CA1","trained","fmr1","1"
"420",1196,"rpl19","65","j","AM","CA1","trained","fmr1","1"
"421",1157,"rpl19","4","ab","AM","CA1","control","wt","2"
"422",1122,"rpl19","4","ab","AM","CA1","control","wt","2"
"423",1107,"rpl19","4","ab","AM","CA1","control","wt","2"
"424",259,"rpl19","38","BL16","AM","CA1","control","wt","3"
"425",262,"rpl19","38","BL16","AM","CA1","control","wt","3"
"426",315,"rpl19","38","BL16","AM","CA1","control","wt","3"
"427",137,"rpl19","42","BL4","AM","CA1","control","wt","3"
"428",150,"rpl19","42","BL4","AM","CA1","control","wt","3"
"431",78,"rpl19","43","BL12","AM","CA1","control","wt","3"
"432",79,"rpl19","43","BL12","AM","CA1","control","wt","3"
"433",41,"rpl19","44","BL10","PM","CA1","control","wt","3"
"434",50,"rpl19","44","BL10","PM","CA1","control","wt","3"
"435",43,"rpl19","44","BL10","PM","CA1","control","wt","3"
"436",5,"rpl19","45","BL8","AM","CA1","control","wt","3"
"437",13,"rpl19","45","BL8","AM","CA1","control","wt","3"
"438",14,"rpl19","45","BL8","AM","CA1","control","wt","3"
"439",81,"rpl19","50","BL18","AM","CA1","control","wt","3"
"440",103,"rpl19","50","BL18","AM","CA1","control","wt","3"
"441",77,"rpl19","50","BL18","AM","CA1","control","wt","3"
"442",170,"rpl19","51","BL14","AM","CA1","control","wt","3"
"443",150,"rpl19","51","BL14","AM","CA1","control","wt","3"
"444",209,"rpl19","51","BL14","AM","CA1","control","wt","3"
"445",244,"rpl19","53","BL6","AM","CA1","control","wt","3"
"446",221,"rpl19","53","BL6","AM","CA1","control","wt","3"
"447",188,"rpl19","53","BL6","AM","CA1","control","wt","3"
"448",1157,"rpl19","54","ab","AM","CA1","control","wt","2"
"449",1122,"rpl19","54","ab","AM","CA1","control","wt","2"
"450",1107,"rpl19","54","ab","AM","CA1","control","wt","2"
"451",1227,"rpl19","2","a wt","AM","CA1","trained","wt","4"
"452",1209,"rpl19","2","a wt","AM","CA1","trained","wt","4"
"453",1157,"rpl19","2","a wt","AM","CA1","trained","wt","4"
"454",214,"rpl19","35","BL11","AM","CA1","trained","wt","5"
"455",191,"rpl19","35","BL11","AM","CA1","trained","wt","5"
"456",194,"rpl19","35","BL11","AM","CA1","trained","wt","5"
"457",330,"rpl19","36","BL7","AM","CA1","trained","wt","5"
"458",326,"rpl19","36","BL7","AM","CA1","trained","wt","5"
"459",262,"rpl19","36","BL7","AM","CA1","trained","wt","5"
"460",57,"rpl19","37","BL2","AM","CA1","trained","wt","5"
"461",43,"rpl19","37","BL2","AM","CA1","trained","wt","5"
"462",70,"rpl19","37","BL2","AM","CA1","trained","wt","5"
"463",211,"rpl19","39","BL19","PM","CA1","trained","wt","5"
"464",116,"rpl19","39","BL19","PM","CA1","trained","wt","5"
"465",118,"rpl19","39","BL19","PM","CA1","trained","wt","5"
"466",105,"rpl19","40","BL3","AM","CA1","trained","wt","5"
"467",97,"rpl19","40","BL3","AM","CA1","trained","wt","5"
"468",96,"rpl19","40","BL3","AM","CA1","trained","wt","5"
"469",186,"rpl19","41","BL13","PM","CA1","trained","wt","5"
"470",238,"rpl19","41","BL13","PM","CA1","trained","wt","5"
"471",188,"rpl19","41","BL13","PM","CA1","trained","wt","5"
"472",83,"rpl19","46","BL1","AM","CA1","trained","wt","5"
"473",105,"rpl19","46","BL1","AM","CA1","trained","wt","5"
"474",105,"rpl19","46","BL1","AM","CA1","trained","wt","5"
"475",1368,"rpl19","47","BL15","PM","CA1","trained","wt","5"
"476",1119,"rpl19","47","BL15","PM","CA1","trained","wt","5"
"477",1208,"rpl19","47","BL15","PM","CA1","trained","wt","5"
"478",726,"rpl19","48","BL9","AM","CA1","trained","wt","5"
"479",701,"rpl19","48","BL9","AM","CA1","trained","wt","5"
"480",633,"rpl19","48","BL9","AM","CA1","trained","wt","5"
"481",43,"rpl19","49","BL5","AM","CA1","trained","wt","5"
"482",59,"rpl19","49","BL5","AM","CA1","trained","wt","5"
"483",41,"rpl19","49","BL5","AM","CA1","trained","wt","5"
"484",453,"rpl19","52","BL17","AM","CA1","trained","wt","5"
"485",469,"rpl19","52","BL17","AM","CA1","trained","wt","5"
"486",459,"rpl19","52","BL17","AM","CA1","trained","wt","5"
"487",1227,"rpl19","60","a wt","AM","CA1","trained","wt","4"
"488",1209,"rpl19","60","a wt","AM","CA1","trained","wt","4"
"489",1157,"rpl19","60","a wt","AM","CA1","trained","wt","4"
"490",16,"rpl19","19","BL 8","AM","CA3","control","wt","6"
"491",12,"rpl19","19","BL 8","AM","CA3","control","wt","6"
"492",12,"rpl19","19","BL 8","AM","CA3","control","wt","6"
"493",17,"rpl19","20","BL 14","AM","CA3","control","wt","6"
"494",21,"rpl19","20","BL 14","AM","CA3","control","wt","6"
"495",15,"rpl19","20","BL 14","AM","CA3","control","wt","6"
"496",15,"rpl19","21","BL 4","AM","CA3","control","wt","6"
"497",13,"rpl19","21","BL 4","AM","CA3","control","wt","6"
"498",15,"rpl19","21","BL 4","AM","CA3","control","wt","6"
"499",7,"rpl19","23","BL 6","AM","CA3","control","wt","6"
"500",10,"rpl19","23","BL 6","AM","CA3","control","wt","6"
"501",13,"rpl19","23","BL 6","AM","CA3","control","wt","6"
"502",6,"rpl19","24","BL 18","AM","CA3","control","wt","6"
"503",7,"rpl19","24","BL 18","AM","CA3","control","wt","6"
"504",8,"rpl19","24","BL 18","AM","CA3","control","wt","6"
"505",8,"rpl19","29","BL 10","PM","CA3","control","wt","6"
"506",4,"rpl19","29","BL 10","PM","CA3","control","wt","6"
"507",12,"rpl19","29","BL 10","PM","CA3","control","wt","6"
"508",4,"rpl19","30","BL 12","AM","CA3","control","wt","6"
"509",5,"rpl19","30","BL 12","AM","CA3","control","wt","6"
"510",4,"rpl19","30","BL 12","AM","CA3","control","wt","6"
"511",6,"rpl19","18","BL 9","AM","CA3","trained","wt","7"
"512",4,"rpl19","18","BL 9","AM","CA3","trained","wt","7"
"513",3,"rpl19","18","BL 9","AM","CA3","trained","wt","7"
"514",15,"rpl19","22","BL 19","PM","CA3","trained","wt","7"
"515",8,"rpl19","22","BL 19","PM","CA3","trained","wt","7"
"516",10,"rpl19","22","BL 19","PM","CA3","trained","wt","7"
"517",17,"rpl19","25","BL 11","AM","CA3","trained","wt","7"
"518",17,"rpl19","25","BL 11","AM","CA3","trained","wt","7"
"519",16,"rpl19","25","BL 11","AM","CA3","trained","wt","7"
"520",3,"rpl19","26","BL 3","AM","CA3","trained","wt","7"
"521",4,"rpl19","26","BL 3","AM","CA3","trained","wt","7"
"522",10,"rpl19","26","BL 3","AM","CA3","trained","wt","7"
"523",6,"rpl19","27","BL 5","AM","CA3","trained","wt","7"
"524",3,"rpl19","27","BL 5","AM","CA3","trained","wt","7"
"525",9,"rpl19","27","BL 5","AM","CA3","trained","wt","7"
"526",2,"rpl19","28","BL 13","PM","CA3","trained","wt","7"
"527",5,"rpl19","28","BL 13","PM","CA3","trained","wt","7"
"528",1,"rpl19","28","BL 13","PM","CA3","trained","wt","7"
"529",39,"rpl19","31","BL 15","PM","CA3","trained","wt","7"
"530",38,"rpl19","31","BL 15","PM","CA3","trained","wt","7"
"531",31,"rpl19","31","BL 15","PM","CA3","trained","wt","7"
"532",20,"rpl19","32","BL 7","AM","CA3","trained","wt","7"
"533",32,"rpl19","32","BL 7","AM","CA3","trained","wt","7"
"534",25,"rpl19","32","BL 7","AM","CA3","trained","wt","7"
"535",14,"rpl19","33","BL 1","AM","CA3","trained","wt","7"
"536",15,"rpl19","33","BL 1","AM","CA3","trained","wt","7"
"537",14,"rpl19","33","BL 1","AM","CA3","trained","wt","7"
"538",16,"rpl19","34","BL 2","AM","CA3","trained","wt","7"
"539",18,"rpl19","34","BL 2","AM","CA3","trained","wt","7"
"540",10,"rpl19","34","BL 2","AM","CA3","trained","wt","7"
