"ind","genotype","session","filename","APA","genoAPA","genoAPAsession","genoAPAsessionInd","p.miss","TotalTime","TotalPath","Entrances","TimeToFirstEntrance","PathToFirstEntrance","SpeedToFirstEntrance","EntrancePerDistance","TotalShocks","TimeToFirstShock","PathToFirstShock","Speed","SDofSpeed","LineArity","MaxAvoidTime","MaxAvoidPath","TimeToSecondEntrance","PathToSecondEntrance","SpeedToSecondEntranc","TimeTARG","pTimeTARG","pTimeCCW","pTimeOPP","pTimeCW","RayleigLength","RayleigAngle","PolarAveVal","PolarSdVal","PolarMinVal","PolarMinBin","MinLoBin","MinHiBin","PolarMaxVal","PolarMaxBin","MaxLoBin","MaxHiBin","AnnularMinVal","AnnularMinBin","AnnularMaxVal","AnnularMaxBin","AnnularAvg","AnnularSD","AnnularSkewnes","AnnularKurtosis"
"BL 11","WT","training2","             bl11D1Train2_Room_Train","trained","WT_trained","WT_trained_training2","WT_trained_training2_BL 11",0,600,15.78,4,36.37,0.59,1.75,0.25,4,36.37,0.59,2.63,2.69,0.6374,203,5.13,72.97,1.63,1.54,3.301,0.0081,0.158,0.7058,0.1281,0.66,182.48,258.18,54.32,1e-04,0,210,170,0.0985,190,160,230,0.0023,19.4,0.4394,16.6,16.61,12.54,3.82,20.47
"BL 11","WT","training3","             bl11D1Train3_Room_Train","trained","WT_trained","WT_trained_training3","WT_trained_training3_BL 11",0,600,18.64,8,0.53,0,-1,0.43,8,0.53,0,3.11,3.05,0.6426,210,6.37,211.17,6.41,4.21,7.302,0.018,0.3552,0.529,0.0978,0.49,154.86,223.08,71.48,5e-04,0,210,130,0.0665,190,120,230,4e-04,3.5,0.5997,18,17.19,8.4,1.76,8.39
"BL 11","WT","retention","             bl11D2Retest_Room_Train","trained","WT_trained","WT_trained_retention","WT_trained_retention_BL 11",0.00261,600,18.78,6,23.7,0.88,7.41,0.32,10,23.7,0.88,3.13,3.1,0.5028,212,8.28,60.33,2.39,6.16,19.134,0.0484,0.1017,0.68,0.1699,0.67,196.87,266.55,57.98,9e-04,40,230,190,0.1013,200,170,240,0.0011,11.1,0.4856,16.6,17.06,5.47,0.99,5.88
"BL 12","WT","pretraining","                bl12D1Hab_Room_Control","control","WT_control","WT_control_pretraining","WT_control_pretraining_BL 12",0,600,23.79,22,39.2,1.01,3.38,0.92,60,39.2,1.01,3.97,2.99,0.5932,43,1.18,76.43,2.26,4.56,117.231,0.3017,0.2545,0.2183,0.2256,0.07,26.67,175.44,101.49,0.0144,290,140,350,0.0395,20,290,110,3e-04,19.4,0.2451,13.2,13.72,21.17,1.38,4.97
"BL 12","WT","training1","             bl12D1Train1_Room_Control","control","WT_control","WT_control_training1","WT_control_training1_BL 12",0,600,23.05,16,9.17,0.62,4.96,0.69,36,9.17,0.62,3.84,3,0.5799,94,3.27,86.4,3.07,8.38,68.998,0.1704,0.2616,0.2645,0.3034,0.08,231.46,176.72,109.13,0.0159,10,290,150,0.0472,270,170,340,0.0451,18,0.2399,13.2,13.54,19.72,1.25,4.91
"BL 12","WT","training2","             bl12D1Train2_Room_Control","control","WT_control","WT_control_training2","WT_control_training2_BL 12",0,600,22.22,22,10.93,0.21,2.17,0.99,55,10.93,0.21,3.7,2.89,0.618,68,1.64,25.37,0.63,1.54,111.633,0.2842,0.2159,0.2708,0.2291,0.02,37.3,181.14,102.09,0.0171,310,180,20,0.0477,20,310,140,4e-04,19.4,0.2581,15,14.01,18.49,1.16,4.48
"BL 12","WT","training3","             bl12D1Train3_Room_Control","control","WT_control","WT_control_training3","WT_control_training3_BL 12",0,600,19.18,17,21.2,0.26,1.1,0.89,55,21.2,0.26,3.2,2.54,0.668,83,1.47,32.23,0.49,2.04,101.733,0.244,0.2631,0.2866,0.2063,0.11,104.15,181.34,97.14,0.0141,240,160,20,0.0405,20,350,160,0.0012,19.4,0.3347,16.6,14.41,17.64,1.26,4.81
"BL 12","WT","retention","             bl12D2Retest_Room_Control","control","WT_control","WT_control_retention","WT_control_retention_BL 12",0,600,24.42,18,32,0.9,9.39,0.74,45,32,0.9,4.07,3.15,0.6101,135,5.15,47.03,1.92,7.47,87.197,0.2176,0.2642,0.2903,0.2279,0.08,156.37,184.76,101.36,0.016,330,220,80,0.0383,190,110,290,0.034,18,0.3233,15,13.89,18.35,1.6,6.04
"BL 13","WT","pretraining","                bl13D1Hab_Room_Train","trained","WT_trained","WT_trained_pretraining","WT_trained_pretraining_BL 13",0.00556,600,36.5,33,4.03,0.25,14.57,0.9,53,4.03,0.25,6.08,4.91,0.6611,46,5.14,13.93,1.27,23.07,100.895,0.261,0.2614,0.254,0.2236,0.05,45.06,182.35,101.34,0.0136,160,0,190,0.0473,190,170,10,0.0078,3.5,0.39,18,16.85,14.2,3.02,16.52
"BL 13","WT","training1","             bl13D1Train1_Room_Train","trained","WT_trained","WT_trained_training1","WT_trained_training1_BL 13",0.00828,600,20.87,4,0.53,0,-1,0.19,5,0.53,0,3.48,2.95,0.5816,272,8.21,49.57,2.13,7.97,4.999,0.0144,0.1291,0.6832,0.1732,0.66,182.06,251.89,56.89,3e-04,10,200,150,0.0873,200,140,220,0.0027,8.5,0.4165,19.4,14.96,44.61,1.59,3.71
"BL 13","WT","training2","             bl13D1Train2_Room_Train","trained","WT_trained","WT_trained_training2","WT_trained_training2_BL 13",0.08133,600,17.64,1,84.83,1.98,4.6,0.06,1,84.83,1.98,2.94,2.59,0.6321,515,1.98,599.97,17.64,-1,0.699,0.0025,0.1631,0.5981,0.2363,0.62,192.75,257.92,59.08,0,20,240,190,0.1025,210,170,250,2e-04,3.5,0.4714,18,13.71,51.71,1.09,2.23
"BL 13","WT","training3","             bl13D1Train3_Room_Train","trained","WT_trained","WT_trained_training3","WT_trained_training3_BL 13",0.04633,600,18.02,0,599.97,18.02,-1,0,0,599.97,18.02,3,2.59,0.5849,599,18.02,599.97,18.02,-1,0,0,0.0552,0.6432,0.3016,0.79,208.42,285.15,42.03,0,0,230,190,0.0984,210,180,250,4e-04,11.1,0.4902,18,14.24,49.44,1.28,2.68
"BL 13","WT","retention","             bl13D2Retest_Room_Train","trained","WT_trained","WT_trained_retention","WT_trained_retention_BL 13",0.01283,600,20.87,4,28.3,0.9,11.64,0.19,4,28.3,0.9,3.48,3.13,0.6113,375,12.33,404.17,13.51,8.46,4.364,0.0112,0.1773,0.5808,0.2307,0.59,185.2,253.62,61.25,3e-04,0,220,150,0.0765,170,130,230,0.0084,8.5,0.5175,16.6,16.39,12.29,3.38,20.6
"BL 14","WT","pretraining","                bl14D1Hab_Room_Control","control","WT_control","WT_control_pretraining","WT_control_pretraining_BL 14",0,600,28.43,27,0.77,0,-1,0.95,62,0.77,0,4.74,3.64,0.6335,49,3.39,4.17,0.39,10.92,109.908,0.2647,0.3265,0.2414,0.1673,0.19,65.4,170.1,91.56,0.0101,230,150,20,0.0531,50,330,120,0.0101,19.4,0.3765,16.6,15.48,18.47,2.42,10.12
"BL 14","WT","training1","             bl14D1Train1_Room_Control","control","WT_control","WT_control_training1","WT_control_training1_BL 14",0,600,20.2,18,44.8,1.04,2.88,0.89,43,44.8,1.04,3.37,2.61,0.6387,67,1.68,50.53,1.2,3.54,76.032,0.1937,0.3887,0.2036,0.214,0.21,100.77,185.66,91.78,0.0133,200,150,40,0.0521,110,30,170,0.0234,3.5,0.3258,16.6,15.84,19.15,2.35,9.87
"BL 14","WT","training2","             bl14D1Train2_Room_Control","control","WT_control","WT_control_training2","WT_control_training2_BL 14",0,600,17.29,8,41.87,0.94,4.25,0.46,21,41.87,0.94,2.88,2.32,0.6582,168,5.26,86.57,2.74,1.98,34.734,0.0896,0.3554,0.3264,0.2286,0.28,151.7,198.68,93.08,0.0035,30,200,100,0.0692,140,80,210,0.0067,8.5,0.4433,18,17.16,13.2,3.24,19.1
"BL 14","WT","training3","             bl14D1Train3_Room_Control","control","WT_control","WT_control_training3","WT_control_training3_BL 14",0.01089,600,12.99,12,14.57,0.46,1.69,0.92,43,14.57,0.46,2.16,1.68,0.6701,69,1.53,69.27,1.53,1.63,84.868,0.2073,0.2873,0.2301,0.2753,0.02,192.14,179.83,105.44,0.0172,50,250,90,0.0439,100,60,250,0.0032,8.5,0.4429,16.6,15.85,10.39,1.93,11.85
"BL 14","WT","retention","             bl14D2Retest_Room_Control","control","WT_control","WT_control_retention","WT_control_retention_BL 14",0,600,15.82,15,3.23,0.23,7.63,0.95,54,3.23,0.23,2.64,2.18,0.642,82,3.03,19.7,0.87,4.83,99.335,0.2589,0.2174,0.3033,0.2203,0.04,183.75,184.69,102.65,0.0181,90,300,140,0.0383,150,90,270,0.0133,3.5,0.4232,16.6,15.11,12.96,2.53,11.33
"BL 15","WT","pretraining","                bl15D1Hab_Room_Train","trained","WT_trained","WT_trained_pretraining","WT_trained_pretraining_BL 15",0,600,42.76,32,6.1,0.65,12.07,0.75,44,6.1,0.65,7.13,5.42,0.625,58,5.68,15.57,1.43,9.73,73.165,0.1814,0.2248,0.3065,0.2872,0.1,216.13,184.9,107.31,0.0193,90,310,170,0.0463,170,120,300,0.0221,3.5,0.3002,16.6,15.87,18.4,2.06,8.56
"BL 15","WT","training1","             bl15D1Train1_Room_Train","trained","WT_trained","WT_trained_training1","WT_trained_training1_BL 15",0.053,600,34.77,18,27.07,1.43,3.91,0.52,18,27.07,1.43,5.8,5.12,0.6149,96,3.88,107.17,5.82,8.47,22.298,0.065,0.2379,0.5451,0.152,0.44,162.42,220.64,78.87,0.0024,0,220,140,0.0758,150,120,230,0.0033,3.5,0.3055,16.6,15.42,31.02,2.37,7.84
"BL 15","WT","training2","             bl15D1Train2_Room_Train","trained","WT_trained","WT_trained_training2","WT_trained_training2_BL 15",0.08928,600,19.1,3,24.33,0.53,2.04,0.16,3,24.33,0.53,3.18,3.02,0.6133,246,7.56,108.8,3.45,5,2.802,0.0095,0.4491,0.5396,0.0017,0.77,137.95,226.7,41.11,0,270,150,110,0.11,150,90,160,0.0023,11.1,0.4576,18,14.11,47.72,1.31,2.81
"BL 15","WT","training3","             bl15D1Train3_Room_Train","trained","WT_trained","WT_trained_training3","WT_trained_training3_BL 15",0.01978,600,19.21,3,376.4,11.63,9.44,0.16,3,376.4,11.63,3.2,3,0.6003,376,11.63,435.13,13.77,15.61,2.934,0.0069,0.2674,0.6283,0.0974,0.67,158.1,236.64,54.22,3e-04,350,200,150,0.0934,190,130,210,0.0016,3.5,0.4478,16.6,16.55,9.61,1.48,10.53
"BL 15","WT","retention","             bl15D2Retest_Room_Train","trained","WT_trained","WT_trained_retention","WT_trained_retention_BL 15",0,600,19.16,1,347.53,11.2,3.54,0.05,1,347.53,11.2,3.19,2.99,0.5986,347,11.2,599.97,19.16,-1,1.533,0.0036,0.2378,0.6187,0.1399,0.63,167.19,242.83,57.09,1e-04,0,200,150,0.0837,190,130,210,3e-04,3.5,0.379,16.6,16.61,10.19,1.4,7.27
"BL 16","WT","pretraining","                bl16D1Hab_Room_Control","control","WT_control","WT_control_pretraining","WT_control_pretraining_BL 16",0,600,19.13,22,14.13,0.45,2.31,1.15,63,14.13,0.45,3.19,2.42,0.5914,79,2.41,38.53,0.98,4.07,118.899,0.306,0.2455,0.2378,0.2106,0.05,48.13,173.99,100.78,0.0156,70,330,160,0.0452,330,240,70,0.0013,18,0.266,13.2,12.34,20.93,1.09,3.74
"BL 16","WT","training1","             bl16D1Train1_Room_Control","control","WT_control","WT_control_training1","WT_control_training1_BL 16",0,600,18.09,19,13.37,0.53,7.07,1.05,61,13.37,0.53,3.02,2.35,0.5431,80,3.2,21.83,0.96,8.64,116.401,0.3141,0.2122,0.2438,0.2299,0.06,325.81,169.93,103.92,0.0156,260,90,300,0.0484,300,270,90,0.0041,18,0.3196,15,12.84,18.84,1.38,5.16
"BL 16","WT","training2","             bl16D1Train2_Room_Control","control","WT_control","WT_control_training2","WT_control_training2_BL 16",0,600,16.1,18,2.83,0.05,6.29,1.12,64,2.83,0.05,2.68,2.06,0.5491,104,2.95,19.83,0.68,3.19,120.067,0.2968,0.2782,0.164,0.261,0.18,14.58,161.07,98.78,0.0078,150,70,300,0.0454,40,310,110,0.0025,18,0.3325,13.2,13.32,16.63,1.56,6.02
"BL 16","WT","training3","             bl16D1Train3_Room_Control","control","WT_control","WT_control_training3","WT_control_training3_BL 16",0,600,14.68,20,4.87,0.29,8.6,1.36,69,4.87,0.29,2.45,1.83,0.6171,98,2.09,103.5,2.26,2.82,125.403,0.328,0.2224,0.2522,0.1974,0.1,359.33,173.6,101.57,0.0128,280,100,320,0.0487,320,290,100,0.0087,18,0.5288,15,14.41,15.7,2.27,8.81
"BL 16","WT","retention","             bl16D2Retest_Room_Control","control","WT_control","WT_control_retention","WT_control_retention_BL 16",0,600,16.19,17,3.53,0.19,7.92,1.05,71,3.53,0.19,2.7,2.19,0.5917,81,2.69,63.73,2.09,9.54,130.764,0.3218,0.2486,0.2247,0.2048,0.14,22.83,167.16,98.15,0.0111,240,90,320,0.0456,40,300,100,0.0018,19.4,0.2712,15,14.23,17.08,1.23,5.12
"BL 17","WT","pretraining","                bl17D1Hab_Room_Train","trained","WT_trained","WT_trained_pretraining","WT_trained_pretraining_BL 17",0,600,30.59,28,0.8,0,-1,0.92,47,0.8,0,5.1,3.92,0.6283,63,5.67,13.87,1.08,10.49,74.8,0.1888,0.2365,0.236,0.3387,0.12,257.13,180.39,112.44,0.0106,20,320,190,0.0429,290,190,350,0.0162,18,0.3344,15,13.57,18.64,1.5,5.38
"BL 17","WT","training1","             bl17D1Train1_Room_Train","trained","WT_trained","WT_trained_training1","WT_trained_training1_BL 17",0,600,19.04,5,6.13,0.39,7.27,0.26,6,6.13,0.39,3.17,2.68,0.6093,252,9.73,48.47,2.76,7.76,5.934,0.0144,0.2224,0.5363,0.2269,0.51,176.02,228.33,76.01,6e-04,10,200,130,0.068,170,120,220,0.0284,3.5,0.3162,15,14.13,16.81,1.56,6.43
"BL 17","WT","training2","             bl17D1Train2_Room_Train","trained","WT_trained","WT_trained_training2","WT_trained_training2_BL 17",0,600,15.44,2,500.23,12.75,1.26,0.13,2,500.23,12.75,2.57,2.16,0.5824,500,12.75,554,14.04,1.56,1.733,0.0043,0.2658,0.5469,0.1829,0.55,172.01,240.09,65.07,0,0,210,140,0.0746,200,130,230,0.0047,19.4,0.2881,15,14.78,18.88,1.75,6.95
"BL 17","WT","training3","             bl17D1Train3_Room_Train","trained","WT_trained","WT_trained_training3","WT_trained_training3_BL 17",0,600,15.55,1,546.67,14.04,2.88,0.06,1,546.67,14.04,2.59,2.36,0.5992,546,14.04,599.97,15.55,-1,1.233,0.003,0.1633,0.7366,0.0972,0.74,169.11,256.95,44.1,0,0,190,150,0.1081,160,140,210,1e-04,19.4,0.3896,16.6,16.19,8.74,1.25,10.13
"BL 17","WT","retention","             bl17D2Retest_Room_Train","trained","WT_trained","WT_trained_retention","WT_trained_retention_BL 17",0,600,17.22,3,17.43,0.44,8.98,0.17,3,17.43,0.44,2.87,2.5,0.5533,391,4.39,153.13,5.08,12.19,2.833,0.0066,0.233,0.4945,0.2659,0.56,177.59,247.16,63.25,3e-04,350,210,140,0.0765,200,120,220,7e-04,19.4,0.3757,15,15.87,10.51,2.17,15.21
"BL 18","WT","pretraining","                bl18D1Hab_Room_Control","control","WT_control","WT_control_pretraining","WT_control_pretraining_BL 18",0,600,26.92,35,5.47,0.17,7.32,1.3,85,5.47,0.17,4.49,3.51,0.6032,44,2.09,28.37,1.31,4.22,153.764,0.3954,0.2855,0.1413,0.1779,0.26,25.4,154.31,90.04,0.0116,180,80,330,0.0574,20,320,100,0.0188,19.4,0.2956,16.6,14.82,21.64,1.59,5.33
"BL 18","WT","training1","             bl18D1Train1_Room_Control","control","WT_control","WT_control_training1","WT_control_training1_BL 18",0,600,19.48,26,2.13,0.19,7.47,1.33,89,2.13,0.19,3.25,2.6,0.5867,94,3.33,29.07,1.18,4.47,165.299,0.4046,0.1784,0.2077,0.2092,0.19,344.36,163.05,102.16,0.014,120,30,270,0.0529,20,290,80,0.0123,3.5,0.2519,16.6,15.74,17.97,1.53,6.56
"BL 18","WT","training2","             bl18D1Train2_Room_Control","control","WT_control","WT_control_training2","WT_control_training2_BL 18",0,600,18.85,22,3.6,0.27,11.61,1.17,72,3.6,0.27,3.14,2.45,0.5918,90,3.06,9.8,0.59,7.03,129.97,0.3486,0.3604,0.1612,0.1299,0.36,49.26,157.26,80.63,0.0073,210,100,10,0.0661,50,350,110,0.0084,3.5,0.3635,16.6,16.07,18.97,3.08,15.85
"BL 18","WT","training3","             bl18D1Train3_Room_Control","control","WT_control","WT_control_training3","WT_control_training3_BL 18",0,600,16.04,13,24.07,0.61,7.41,0.81,48,24.07,0.61,2.67,2.13,0.6027,102,2.88,55.9,1.51,1.56,92.234,0.2284,0.2562,0.314,0.2013,0.13,159.63,192.44,98.93,0.011,40,250,120,0.05,160,80,240,9e-04,8.5,0.4023,18,17.16,17.73,4.34,26.57
"BL 18","WT","retention","             bl18D2Retest_Room_Control","control","WT_control","WT_control_retention","WT_control_retention_BL 18",0,600,21.19,20,19.27,0.5,1.1,0.94,58,19.27,0.5,3.53,2.77,0.6153,53,1.23,40.8,0.88,6.51,104.133,0.263,0.2748,0.2201,0.2421,0.05,42.82,178.74,102.1,0.0168,290,200,40,0.0399,70,10,200,0.0222,8.5,0.3074,18,15.83,20.54,2.07,8.07
"BL 19","WT","pretraining","                bl19D1Hab_Room_Train","trained","WT_trained","WT_trained_pretraining","WT_trained_pretraining_BL 19",0,600,29.03,30,13.3,0.45,10.29,1.03,52,13.3,0.45,4.84,3.7,0.5995,46,2.44,20.03,0.89,6.89,90.268,0.2197,0.2123,0.2249,0.3432,0.16,271.48,180.91,114.29,0.0136,130,330,210,0.0513,280,200,350,0.0145,18,0.3079,15,13.24,18.67,1.38,5.24
"BL 19","WT","training1","             bl19D1Train1_Room_Train","trained","WT_trained","WT_trained_training1","WT_trained_training1_BL 19",0,600,18.91,6,5.57,0.28,8.29,0.32,6,5.57,0.28,3.15,2.61,0.6062,230,7.2,104.53,3.19,7.32,5.933,0.0144,0.3476,0.4827,0.1553,0.5,167.81,234.62,68.78,8e-04,350,210,130,0.0654,200,140,250,0.0148,8.5,0.3836,16.6,14.89,16.3,2.88,13.17
"BL 19","WT","training2","             bl19D1Train2_Room_Train","trained","WT_trained","WT_trained_training2","WT_trained_training2_BL 19",0,600,17.72,4,48.13,1.62,2.1,0.23,4,48.13,1.62,2.95,2.77,0.6561,330,9.53,111.87,3.83,3.91,3.665,0.0089,0.2423,0.5259,0.223,0.52,184.73,246.73,67.99,1e-04,10,230,160,0.0772,200,140,240,0.0021,3.5,0.397,16.6,16.08,9.62,1.93,11.62
"BL 19","WT","training3","             bl19D1Train3_Room_Train","trained","WT_trained","WT_trained_training3","WT_trained_training3_BL 19",0,600,17.33,2,49.13,1.92,6.68,0.12,2,49.13,1.92,2.89,2.62,0.6223,545,1.92,54.73,2.23,6.75,1.667,0.0042,0.1314,0.4575,0.4069,0.65,210.47,270.14,58.92,0,0,260,210,0.0942,230,190,270,0.0022,3.5,0.4109,16.6,15.95,9.06,1.91,15.28
"BL 19","WT","retention","             bl19D2Retest_Room_Train","trained","WT_trained","WT_trained_retention","WT_trained_retention_BL 19",0,600,19.9,3,276.07,8.35,3.8,0.15,3,276.07,8.35,3.32,2.85,0.5975,276,8.35,491.87,16.33,1.68,2.833,0.0073,0.0528,0.4089,0.5311,0.67,223.22,252.87,76.19,1e-04,350,260,210,0.0956,240,200,280,0.0012,3.5,0.4538,16.6,15.97,9.91,2.02,11.62
"FMR1 AB","FMR1-KO","pretraining","RoomTrack_fmr1AB_pretraining_20140129_102732.dat","control","FMR1-KO_control","FMR1-KO_control_pretraining","FMR1-KO_control_pretraining_FMR1 AB",0,600,29.95,31,9.98,0.71,4.07,1.04,53,9.98,0.71,4.99,3.7,0.5278,56,4.83,24.32,1.77,12.06,95.818,0.2453,0.3165,0.245,0.1932,0.15,95.24,184,94.31,0.0112,300,150,20,0.047,40,10,170,0.0039,18.5,0.3065,13.5,13.09,17.75,1.17,4.39
"FMR1 AB","FMR1-KO","training1","RoomTrack_fmr1AB_training1_20140129_110313.dat","control","FMR1-KO_control","FMR1-KO_control_training1","FMR1-KO_control_training1_FMR1 AB",0,600,25.94,27,16.31,0.64,7.14,1.04,72,16.31,0.64,4.32,3.21,0.5325,47,2.42,34.56,1.62,12.71,141.418,0.342,0.301,0.162,0.195,0.21,40.52,167.68,93.66,0.0114,210,120,0,0.0485,10,320,110,0.0031,18.5,0.3405,13.5,13.2,16.88,1.32,4.95
"FMR1 AB","FMR1-KO","training2","RoomTrack_fmr1AB_training2_20140129_115151.dat","control","FMR1-KO_control","FMR1-KO_control_training2","FMR1-KO_control_training2_FMR1 AB",0,600,22.83,22,27.46,0.84,6.76,0.96,65,27.46,0.84,3.81,2.76,0.5405,75,1.89,84.77,2.82,5.85,128.742,0.3169,0.235,0.2369,0.2112,0.07,353.26,169.15,102.26,0.0173,80,10,210,0.0402,350,260,80,0.0036,18.5,0.3286,13.5,12.74,17.95,1.2,4.52
"FMR1 AB","FMR1-KO","training3","RoomTrack_fmr1AB_training3_20140129_124720.dat","control","FMR1-KO_control","FMR1-KO_control_training3","FMR1-KO_control_training3_FMR1 AB",0,600,19.09,14,12.28,0.23,2.65,0.73,41,12.28,0.23,3.18,2.29,0.5583,113,3.29,41.97,0.83,4.67,76.868,0.1849,0.1958,0.2857,0.3337,0.15,236.37,195.28,110.16,0.0163,0,300,180,0.0497,250,160,320,0.0025,18.5,0.3923,13.5,13.96,14.5,1.71,7.92
"FMR1 AB","FMR1-KO","retention","RoomTrack_fmr1AB_retention_20140130_102946.dat","control","FMR1-KO_control","FMR1-KO_control_retention","FMR1-KO_control_retention_FMR1 AB",0,600,20.7,11,84.17,2.18,5.11,0.53,30,84.17,2.18,3.45,2.58,0.5487,119,3.34,203.51,6.18,2.25,57.353,0.1454,0.1409,0.3163,0.3974,0.36,229.08,223.31,102.6,0.0108,20,270,190,0.0776,230,180,290,1e-04,18.5,0.4452,15.4,14.17,15.63,2.12,8.31
"FMR1 A","FMR1-KO","pretraining","RoomTrack_fmr1A_pretraining_20140121_110541.dat","control","FMR1-KO_control","FMR1-KO_control_pretraining","FMR1-KO_control_pretraining_FMR1 A",0,600,16.67,21,0.5,0,-1,1.26,57,0.5,0,2.78,2.28,0.4708,54,0.36,43.37,0.29,0.89,116.699,0.2964,0.2251,0.2494,0.2291,0.07,314.08,170.04,104.56,0.0192,240,90,300,0.0485,340,260,80,0.0309,17,0.3196,3.6,10.44,27.43,0.4,1.67
"FMR1 A","FMR1-KO","training1","RoomTrack_fmr1A_training1_20140121_120419.dat","control","FMR1-KO_control","FMR1-KO_control_training1","FMR1-KO_control_training1_FMR1 A",0,600,31.45,30,0.5,0,-1,0.95,46,0.5,0,5.24,3.93,0.5448,83,4.74,24.32,1.6,13.67,82.04,0.2115,0.2932,0.3171,0.1782,0.09,132.51,183.92,98.39,0.015,270,120,320,0.0421,320,290,120,2e-04,18.5,0.3344,13.5,13.42,18.25,1.7,6.14
"FMR1 A","FMR1-KO","training2","RoomTrack_fmr1A_training2_20140121_130141.dat","control","FMR1-KO_control","FMR1-KO_control_training2","FMR1-KO_control_training2_FMR1 A",0,600,26.2,30,0.5,0,-1,1.14,61,0.5,0,4.37,3.47,0.5213,50,2.2,22.79,0.81,9.84,113.565,0.2897,0.2395,0.2306,0.2402,0.06,337.73,180.21,104.92,0.0128,90,70,280,0.042,320,270,90,1e-04,18.5,0.2782,13.5,11.07,23.3,0.62,2.43
"FMR1 A","FMR1-KO","training3","RoomTrack_fmr1A_training3_20140121_135323.dat","control","FMR1-KO_control","FMR1-KO_control_training3","FMR1-KO_control_training3_FMR1 A",0,600,22.63,22,66.59,2.15,7.38,0.97,41,66.59,2.15,3.77,2.98,0.538,66,2.15,84.57,2.84,3.86,79.809,0.1861,0.2035,0.364,0.2464,0.18,204.47,202.32,103.09,0.0167,60,270,150,0.0516,200,130,280,0.0249,17,0.2501,13.5,10.84,25.74,0.69,2.39
"FMR1 A","FMR1-KO","retention","RoomTrack_fmr1A_reten_20140122_105316.dat","control","FMR1-KO_control","FMR1-KO_control_retention","FMR1-KO_control_retention_FMR1 A",0,600,29.36,36,4.87,0.28,12.63,1.23,68,4.87,0.28,4.89,3.78,0.556,43,2.99,11.84,0.91,11.65,120.407,0.3077,0.2409,0.1932,0.2583,0.1,324.77,169.46,106.23,0.017,150,20,240,0.0454,320,230,40,0.0027,17,0.2823,11.4,9.99,21.16,0.51,2.47
