"ind","genotype","session","filename","APA","genoAPA","genoAPAsession","genoAPAsessionInd","p.miss","TotalTime","TotalPath","Entrances","TimeToFirstEntrance","PathToFirstEntrance","SpeedToFirstEntrance","EntrancePerDistance","TotalShocks","TimeToFirstShock","PathToFirstShock","Speed","SDofSpeed","LineArity","MaxAvoidTime","MaxAvoidPath","TimeToSecondEntrance","PathToSecondEntrance","SpeedToSecondEntranc","TimeTARG","pTimeTARG","pTimeCCW","pTimeOPP","pTimeCW","RayleigLength","RayleigAngle","PolarAveVal","PolarSdVal","PolarMinVal","PolarMinBin","MinLoBin","MinHiBin","PolarMaxVal","PolarMaxBin","MaxLoBin","MaxHiBin","AnnularMinVal","AnnularMinBin","AnnularMaxVal","AnnularMaxBin","AnnularAvg","AnnularSD","AnnularSkewnes","AnnularKurtosis"
"FMR1 B","FMR1-KO","pretraining","RoomTrack_fmr1B_pretraining_20140122_115350.dat","trained","FMR1-KO_trained","FMR1-KO_trained_pretraining","FMR1-KO_trained_pretraining_FMR1 B",0,600,25.98,31,5.04,0.37,13.85,1.19,59,5.04,0.37,4.33,3.26,0.5027,48,3.05,8.04,0.63,7.96,105.19,0.2719,0.1579,0.2308,0.3395,0.18,300.77,161.98,110.23,0.0118,90,330,200,0.0553,290,240,40,0.0545,17,0.2763,13.5,12.19,21.16,1.01,3.49
"FMR1 B","FMR1-KO","training1","RoomTrack_fmr1B_training1_20140122_124706.dat","trained","FMR1-KO_trained","FMR1-KO_trained_training1","FMR1-KO_trained_training1_FMR1 B",0,600,21.14,10,11.34,0.19,1.05,0.47,10,11.34,0.19,3.52,2.84,0.5078,138,3.83,73,1.68,4.83,11.844,0.0306,0.4585,0.3655,0.1454,0.48,136.03,205.75,75.42,8e-04,0,160,100,0.0776,110,90,180,1e-04,18.5,0.3822,15.4,13.69,17.56,1.4,5.08
"FMR1 B","FMR1-KO","training2","RoomTrack_fmr1B_training2_20140122_133817.dat","trained","FMR1-KO_trained","FMR1-KO_trained_training2","FMR1-KO_trained_training2_FMR1 B",0,600,23.42,13,5.24,0.05,1.94,0.56,15,5.24,0.05,3.9,3.46,0.5898,213,7.6,25.52,0.62,2.16,18.014,0.045,0.64,0.2747,0.0403,0.67,111.72,202.15,53.2,1e-04,340,130,80,0.0921,120,60,140,1e-04,19.8,0.4737,17,15.69,13.31,2.98,15.1
"FMR1 B","FMR1-KO","training3","RoomTrack_fmr1B_training3_20140122_143940.dat","trained","FMR1-KO_trained","FMR1-KO_trained_training3","FMR1-KO_trained_training3_FMR1 B",0,600,20.26,13,0.5,0,-1,0.64,13,0.5,0,3.38,3.01,0.6349,118,4.23,14.28,0.59,2.39,14.212,0.0369,0.3629,0.5233,0.0769,0.55,144.59,226.21,61.78,1e-04,330,180,110,0.0687,160,90,190,0.0032,3.6,0.7058,17,16.56,8.66,3.88,28.01
"FMR1 B","FMR1-KO","retention","RoomTrack_fmr1B_retention_20140123_111551.dat","trained","FMR1-KO_trained","FMR1-KO_trained_retention","FMR1-KO_trained_retention_FMR1 B",0,600,19.2,15,78.83,2.65,7.04,0.78,36,78.83,2.65,3.2,2.8,0.4874,119,4.33,197.87,7.3,5.13,74.461,0.1814,0.2118,0.2633,0.3435,0.17,232.32,200.58,109.19,0.0137,20,300,170,0.0516,240,160,320,0.0021,18.5,0.3137,15.4,12.73,27.86,1.15,3.07
"FMR1 C","FMR1-KO","pretraining","RoomTrack_fmr1C_pretraining_20140127_110039.dat","trained","FMR1-KO_trained","FMR1-KO_trained_pretraining","FMR1-KO_trained_pretraining_FMR1 C",0,600,23.66,22,12.18,0.47,5.48,0.93,50,12.18,0.47,3.94,2.86,0.517,87,4.42,20.92,0.87,9.09,97.947,0.2333,0.2053,0.2645,0.2969,0.08,223.82,186.72,107.65,0.0148,70,10,210,0.038,290,140,310,0.0187,18.5,0.2753,15.4,12.49,24.65,0.95,3.04
"FMR1 C","FMR1-KO","training1","RoomTrack_fmr1C_training1_20140127_111420.dat","trained","FMR1-KO_trained","FMR1-KO_trained_training1","FMR1-KO_trained_training1_FMR1 C",0,600,21.91,10,13.81,0.3,3.65,0.46,13,13.81,0.3,3.65,3.28,0.5473,272,10.08,62.29,1.87,3.7,16.115,0.0378,0.0854,0.1975,0.6793,0.6,245.4,233.14,104.87,0.001,0,270,230,0.1173,260,220,290,0.0076,3.6,0.4616,15.4,15.46,12.3,2.54,10.95
"FMR1 C","FMR1-KO","training2","RoomTrack_fmr1C_training2_20140127_120928.dat","trained","FMR1-KO_trained","FMR1-KO_trained_training2","FMR1-KO_trained_training2_FMR1 C",0,600,23.53,6,32.96,0.91,2.37,0.25,7,32.96,0.91,3.92,3.59,0.6509,162,6.03,48.51,1.55,2.85,11.678,0.0301,0.2341,0.2922,0.4436,0.32,199.54,215.75,98.75,3e-04,340,270,160,0.054,250,180,310,6e-04,19.8,0.6242,17,16.81,5.94,2.37,26.34
"FMR1 C","FMR1-KO","training3","RoomTrack_fmr1C_training3_20140127_130003.dat","trained","FMR1-KO_trained","FMR1-KO_trained_training3","FMR1-KO_trained_training3_FMR1 C",0,600,27.35,6,72.13,2.51,2.22,0.22,7,72.13,2.51,4.56,4.55,0.7018,177,6.84,179.52,6.89,2.67,10.675,0.0269,0.0824,0.356,0.5346,0.55,234.61,222.48,109.37,2e-04,0,270,200,0.0688,250,190,290,4e-04,8.7,0.7759,17,16.9,5.15,3.64,45.73
"FMR1 C","FMR1-KO","retention","RoomTrack_fmr1C_retention_20140128_111745.dat","trained","FMR1-KO_trained","FMR1-KO_trained_retention","FMR1-KO_trained_retention_FMR1 C",0,600,21.11,11,9.18,0.58,28.05,0.52,35,9.18,0.58,3.52,3.15,0.5389,156,6.16,91.81,3.97,2.58,70.727,0.1887,0.0274,0.1202,0.6636,0.67,287.1,134.94,117.77,0.0021,100,320,280,0.0969,300,260,330,6e-04,8.7,0.6013,17,16.53,7.27,1.14,5.14
"FMR1 E","FMR1-KO","pretraining","RoomTrack_fmr1E_pretraining_20140218_115807.dat","control","FMR1-KO_control","FMR1-KO_control_pretraining","FMR1-KO_control_pretraining_FMR1 E",0,600,29.25,29,12.34,0.86,8.94,0.99,55,12.34,0.86,4.88,3.62,0.5665,67,3.63,79.64,4.32,4.84,106.524,0.2766,0.2682,0.2204,0.2348,0.08,29.5,173.98,100.88,0.0165,160,70,280,0.044,50,330,150,0.0222,18.5,0.2821,15.4,13.16,20.53,1.16,4.06
"FMR1 E","FMR1-KO","training1","RoomTrack_fmr1E_training1_20140218_123458.dat","control","FMR1-KO_control","FMR1-KO_control_training1","FMR1-KO_control_training1_FMR1 E",0,600,19.14,21,11.78,0.13,2.46,1.1,61,11.78,0.13,3.19,2.33,0.5592,62,1.99,39.23,1.18,8.38,118.57,0.2971,0.2985,0.2477,0.1567,0.13,79.34,178.11,94.39,0.0132,280,120,340,0.0402,340,300,120,0.0018,18.5,0.224,13.5,11.64,23.16,0.62,2.64
"FMR1 E","FMR1-KO","training2","RoomTrack_fmr1E_training2_20140218_132827.dat","control","FMR1-KO_control","FMR1-KO_control_training2","FMR1-KO_control_training2_FMR1 E",0,600,18.93,20,11.38,0.57,7.25,1.06,45,11.38,0.57,3.16,2.33,0.5576,62,1.54,16.65,0.73,1.29,84.438,0.2114,0.1693,0.3045,0.3148,0.17,244.83,185.03,112.74,0.0107,60,320,190,0.0504,310,180,340,0.0028,18.5,0.2727,13.5,12.06,23.15,1.03,3.37
"FMR1 E","FMR1-KO","training3","RoomTrack_fmr1E_training3_20140218_141516.dat","control","FMR1-KO_control","FMR1-KO_control_training3","FMR1-KO_control_training3_FMR1 E",0,600,19.61,19,18.72,0.69,2.89,0.97,45,18.72,0.69,3.27,2.36,0.5974,85,3.02,48.01,1.62,2.31,84.373,0.206,0.2379,0.2881,0.268,0.1,174.34,196.67,101.25,0.0112,330,260,120,0.0375,160,90,260,1e-04,18.5,0.2856,13.5,12.45,19.76,0.9,3.5
"FMR1 E","FMR1-KO","retention","RoomTrack_fmr1E_retention_20140219_122908.dat","control","FMR1-KO_control","FMR1-KO_control_retention","FMR1-KO_control_retention_FMR1 E",0,600,21,23,11.04,0.67,10.19,1.1,57,11.04,0.67,3.5,2.55,0.6267,66,2.33,50.74,1.86,3.3,111.661,0.2778,0.2409,0.2674,0.2139,0.01,113.6,186.61,101.88,0.018,300,230,70,0.0378,210,100,290,0.0364,17,0.4133,15.4,13.38,18.64,2.02,7.12
"FMR1 F","FMR1-KO","pretraining","RoomTrack_fmr1F_pretraining_20140220_114049.dat","trained","FMR1-KO_trained","FMR1-KO_trained_pretraining","FMR1-KO_trained_pretraining_FMR1 F",0,600,28.23,32,9.71,0.69,7.11,1.13,71,9.71,0.69,4.7,3.5,0.5937,50,2.91,15.38,1.16,11.87,128.441,0.3063,0.1821,0.2536,0.258,0.11,303.5,171.82,108.13,0.0137,130,330,190,0.0431,190,160,340,0.0012,18.5,0.3194,13.5,12.49,20.03,1.09,3.91
"FMR1 F","FMR1-KO","training1","RoomTrack_fmr1F_training1_20140220_120605.dat","trained","FMR1-KO_trained","FMR1-KO_trained_training1","FMR1-KO_trained_training1_FMR1 F",0,600,19.73,18,0.5,0,-1,0.91,21,0.5,0,3.29,2.6,0.6274,74,2.73,31.96,1.35,2.32,31.457,0.0806,0.4399,0.3597,0.1197,0.42,129.66,211.25,74.04,0.0026,340,170,80,0.0564,130,60,180,0.0176,3.6,0.308,17,14.84,15.25,1.49,5.88
"FMR1 F","FMR1-KO","training2","RoomTrack_fmr1F_training2_20140220_125600.dat","trained","FMR1-KO_trained","FMR1-KO_trained_training2","FMR1-KO_trained_training2_FMR1 F",0,600,22.24,15,43.3,1.41,3.2,0.67,15,43.3,1.41,3.71,3.04,0.5883,82,2.93,52.11,1.8,2.67,15.651,0.0417,0.8067,0.1315,0.0202,0.74,99.4,192.26,45.64,2e-04,320,120,80,0.1006,110,70,140,0.0152,3.6,0.5453,17,15.83,15.18,2.41,10.02
"FMR1 F","FMR1-KO","training3","RoomTrack_fmr1F_training3_20140220_134837.dat","trained","FMR1-KO_trained","FMR1-KO_trained_training3","FMR1-KO_trained_training3_FMR1 F",0,600,24.28,22,46.47,1.55,2.68,0.91,22,46.47,1.55,4.05,3.56,0.6375,62,2.18,64.46,2.25,3.12,24.225,0.0648,0.6458,0.2051,0.0843,0.55,97.02,188.47,65.63,5e-04,340,110,50,0.0789,70,30,120,0.0124,8.7,0.5883,17,16.16,12.41,3.28,17.19
"FMR1 F","FMR1-KO","retention","RoomTrack_fmr1F_retention_20140221_112510.dat","trained","FMR1-KO_trained","FMR1-KO_trained_retention","FMR1-KO_trained_retention_FMR1 F",0,600,22.06,23,3.47,0.27,9,1.04,61,3.47,0.27,3.68,2.78,0.6031,49,1.91,52.45,1.99,2.62,123.075,0.3081,0.2754,0.1609,0.2556,0.12,7.88,163.13,100.56,0.0136,200,70,290,0.0377,300,240,50,0.0041,18.5,0.3368,15.4,13.27,18.28,1.72,6.38
"FMR1 G","FMR1-KO","pretraining","RoomTrack_fmr1G_pretraining_20140224_112133.dat","control","FMR1-KO_control","FMR1-KO_control_pretraining","FMR1-KO_control_pretraining_FMR1 G",0,600,30.12,31,13.21,0.56,6.93,1.03,59,13.21,0.56,5.02,3.63,0.596,46,2.6,20.25,1.02,9.71,115.295,0.291,0.2526,0.267,0.1895,0.06,85.45,179.15,98.65,0.0176,270,130,340,0.0408,340,300,130,0.0045,18.5,0.3326,15.4,13.15,19.76,1.45,4.98
"FMR1 G","FMR1-KO","training1","RoomTrack_fmr1G_training1_20140224_113309.dat","control","FMR1-KO_control","FMR1-KO_control_training1","FMR1-KO_control_training1_FMR1 G",0,600,27.03,29,21.15,0.9,9.3,1.07,61,21.15,0.9,4.51,3.32,0.5921,53,2.37,30.09,1.32,6.44,115.203,0.2911,0.2245,0.2062,0.2781,0.09,330.07,169.68,105.72,0.0124,200,50,270,0.0406,340,220,30,0.0175,18.5,0.3131,15.4,13.01,22.31,1.38,4.6
"FMR1 G","FMR1-KO","training2","RoomTrack_fmr1G_training2_20140224_122145.dat","control","FMR1-KO_control","FMR1-KO_control_training2","FMR1-KO_control_training2_FMR1 G",0,600,26.78,34,0.5,0,-1,1.27,73,0.5,0,4.46,3.31,0.6112,81,3.69,13.95,0.53,5.23,133.619,0.3371,0.1997,0.2235,0.2398,0.1,329.95,167.2,104.28,0.0168,270,70,290,0.0393,0,270,80,0.0157,18.5,0.2606,13.5,12.86,22.55,1.15,3.86
"FMR1 G","FMR1-KO","training3","RoomTrack_fmr1G_training3_20140224_131258.dat","control","FMR1-KO_control","FMR1-KO_control_training3","FMR1-KO_control_training3_FMR1 G",0,600,23.94,29,8.24,0.31,8.27,1.21,55,8.24,0.31,3.99,2.95,0.6427,46,2.03,18.55,0.83,10.46,102.221,0.2619,0.251,0.2437,0.2434,0.05,359.51,172.14,102.92,0.019,180,70,280,0.0403,320,260,80,0.0152,18.5,0.2961,15.4,12.98,21.72,1.36,4.53
"FMR1 G","FMR1-KO","retention","RoomTrack_fmr1G_retention_20140225_115112.dat","control","FMR1-KO_control","FMR1-KO_control_retention","FMR1-KO_control_retention_FMR1 G",0,600,34.65,30,0.77,0,-1,0.87,56,0.77,0,5.78,4.44,0.6122,59,3.96,21.99,1.25,12.62,109.296,0.2766,0.2033,0.2732,0.2469,0.02,234.23,183.07,104,0.0174,90,10,210,0.0389,10,250,90,0.0213,18.5,0.2798,15.4,13.05,22.44,1.21,3.91
"FMR1 H","FMR1-KO","pretraining","RoomTrack_fmr1H_pretraining_20140225_120944.dat","trained","FMR1-KO_trained","FMR1-KO_trained_pretraining","FMR1-KO_trained_pretraining_FMR1 H",0,600,28.81,29,15.38,0.68,6.89,1.01,60,15.38,0.68,4.8,3.45,0.5957,79,4.55,24.82,1.29,5.47,114.498,0.2846,0.2096,0.27,0.2358,0.01,65.26,181.37,102.4,0.0201,100,350,180,0.0354,350,270,100,0.007,18.5,0.2674,15.4,12.87,22.18,1.22,4.04
"FMR1 H","FMR1-KO","training1","RoomTrack_fmr1H_training1_20140225_123103.dat","trained","FMR1-KO_trained","FMR1-KO_trained_training1","FMR1-KO_trained_training1_FMR1 H",0,600,21.62,10,1.47,0.07,5.67,0.46,14,1.47,0.07,3.6,2.92,0.5995,140,4.96,66.99,2.44,3.09,22.282,0.054,0.2334,0.5949,0.1177,0.55,172.98,245.64,64.13,0.0019,340,220,160,0.0848,200,140,230,0.0054,18.5,0.2618,15.4,13.66,21.39,1.4,4.85
"FMR1 H","FMR1-KO","training2","RoomTrack_fmr1H_training2_20140225_135538.dat","trained","FMR1-KO_trained","FMR1-KO_trained_training2","FMR1-KO_trained_training2_FMR1 H",0,600,20.06,2,134.88,5.17,7.21,0.1,2,134.88,5.17,3.34,2.54,0.5674,367,5.17,232.63,8.33,5.18,2.235,0.0057,0.1165,0.7512,0.1267,0.73,186.99,265.71,47.54,2e-04,0,210,170,0.1047,200,160,230,2e-04,18.5,0.4249,17,14.98,16.36,1.93,6.88
"FMR1 H","FMR1-KO","training3","RoomTrack_fmr1H_training3_20140225_141035.dat","trained","FMR1-KO_trained","FMR1-KO_trained_training3","FMR1-KO_trained_training3_FMR1 H",0,600,21.14,14,13.35,0.34,3.27,0.66,20,13.35,0.34,3.52,2.76,0.5672,160,4.89,173.48,5.4,4.01,33.728,0.0839,0.5203,0.3472,0.0487,0.54,120.08,201.56,66.43,0.0023,270,150,80,0.0811,120,70,170,0.0309,11.4,0.5347,17,15.42,18.17,2.59,10.16
"FMR1 H","FMR1-KO","retention","RoomTrack_frm1H_retention_20140226_111535.dat","trained","FMR1-KO_trained","FMR1-KO_trained_retention","FMR1-KO_trained_retention_FMR1 H",0,600,24.62,20,15.31,0.7,10.17,0.81,41,15.31,0.7,4.1,3.07,0.5814,70,3.04,37.4,1.69,2.53,79.4,0.1973,0.2821,0.3341,0.1866,0.13,148.16,185.64,98.32,0.0125,30,210,80,0.0491,110,70,230,0.003,18.5,0.2679,15.4,12.63,22.87,1.04,3.27
"FMR1 I","FMR1-KO","pretraining","RoomTrack_fmr1I_pretraining_20140226_104312.dat","control","FMR1-KO_control","FMR1-KO_control_pretraining","FMR1-KO_control_pretraining_FMR1 I",0,600,24.72,24,22.05,0.91,8.96,0.97,47,22.05,0.91,4.12,3,0.5807,55,2.57,52.18,2.5,5.83,90.375,0.227,0.2494,0.2738,0.2498,0.07,205.14,184.39,105.2,0.0137,50,280,130,0.0403,190,170,350,6e-04,18.5,0.2979,13.5,12.54,20.55,1.18,3.9
"FMR1 I","FMR1-KO","training1","RoomTrack_fmr1I_training1_20140226_113547.dat","control","FMR1-KO_control","FMR1-KO_control_training1","FMR1-KO_control_training1_FMR1 I",0,600,19.97,27,3,0.09,3.35,1.35,58,3,0.09,3.33,2.42,0.5638,55,2,19.58,0.7,3.54,109.132,0.2578,0.1948,0.2994,0.248,0.09,249.04,177.93,107.77,0.011,40,310,170,0.0407,170,90,280,0.0013,18.5,0.2405,3.6,10.31,24.52,0.52,2.42
"FMR1 I","FMR1-KO","training2","RoomTrack_fmr1I_training2_20140226_120520.dat","control","FMR1-KO_control","FMR1-KO_control_training2","FMR1-KO_control_training2_FMR1 I",0,600,17.29,25,1.2,0.11,10.77,1.45,58,1.2,0.11,2.88,2.16,0.5507,57,2.2,17.61,0.87,10.27,108.694,0.2712,0.2192,0.2458,0.2638,0.07,284.6,175.34,107.39,0.0169,70,350,210,0.0392,350,190,10,2e-04,18.5,0.3327,3.6,9.91,24.33,0.18,1.9
"FMR1 I","FMR1-KO","training3","RoomTrack_fmr1I_training3_20140226_125554.dat","control","FMR1-KO_control","FMR1-KO_control_training3","FMR1-KO_control_training3_FMR1 I",0,600,17.4,22,14.01,0.17,1.79,1.26,54,14.01,0.17,2.9,2.12,0.5919,64,0.73,57.32,0.64,1.48,102.063,0.2565,0.2256,0.2188,0.2991,0.07,313.94,178.32,107.57,0.0207,180,30,240,0.0409,30,270,90,0.0152,17,0.2473,3.6,10.07,23.28,0.23,2.1
"FMR1 I","FMR1-KO","retention","RoomTrack_fmr1I_retention_20140227_095631.dat","control","FMR1-KO_control","FMR1-KO_control_retention","FMR1-KO_control_retention_FMR1 I",0,600,22.88,25,10.51,0.49,10.92,1.09,66,10.51,0.49,3.81,2.87,0.5539,67,3.01,12.81,0.62,2.67,130.65,0.3103,0.1911,0.2413,0.2573,0.08,317.04,170.73,106.12,0.0153,240,50,270,0.0471,280,240,50,0.0085,18.5,0.3201,15.4,13.23,21.12,1.37,4.5
"FMR1 J","FMR1-KO","pretraining","RoomTrack_fmr1J_pretraining_20140304_124623.dat","trained","FMR1-KO_trained","FMR1-KO_trained_pretraining","FMR1-KO_trained_pretraining_FMR1 J",0,600,26.64,26,1.3,0.06,7.45,0.98,52,1.3,0.06,4.44,3.12,0.6046,53,2.96,24.35,1.4,4.75,98.42,0.2446,0.2784,0.2667,0.2103,0.03,154.11,182.27,102.27,0.0176,60,220,70,0.0431,220,120,310,1e-04,18.5,0.3185,13.5,12.07,21.26,1.07,3.62
"FMR1 J","FMR1-KO","training1","RoomTrack_fmr1J_training1_20140304_130622.dat","trained","FMR1-KO_trained","FMR1-KO_trained_training1","FMR1-KO_trained_training1_FMR1 J",0,600,18.97,12,12.28,0.58,6.37,0.63,14,12.28,0.58,3.16,2.55,0.6323,118,3.68,58.78,1.89,1.06,18.783,0.0475,0.4289,0.4591,0.0646,0.59,133.31,219.91,58.84,6e-04,340,170,110,0.0719,150,90,180,0.0033,18.5,0.3924,15.4,13.74,18.22,1.84,7.06
"FMR1 J","FMR1-KO","training2","RoomTrack_fmr1J_training2_20140304_141430.dat","trained","FMR1-KO_trained","FMR1-KO_trained_training2","FMR1-KO_trained_training2_FMR1 J",0,600,19.71,13,38.57,1.02,2.05,0.66,14,38.57,1.02,3.29,2.75,0.6676,303,1.48,52.51,1.65,10.65,18.048,0.0472,0.4412,0.48,0.0315,0.61,132.89,219.52,56.65,0.0011,350,170,110,0.0793,130,90,180,2e-04,18.5,0.4013,15.4,13.7,16.72,1.8,6.24
"FMR1 J","FMR1-KO","training3","RoomTrack_fmr1J_training3_20140304_143523.dat","trained","FMR1-KO_trained","FMR1-KO_trained_training3","FMR1-KO_trained_training3_FMR1 J",0,600,19.9,7,22.35,0.6,10.1,0.35,7,22.35,0.6,3.32,2.85,0.6894,246,8.53,31.46,0.98,3.98,8.641,0.0215,0.394,0.5368,0.0478,0.6,143.92,229.37,56.83,5e-04,320,190,120,0.068,170,110,210,0.0108,18.5,0.3873,15.4,14.97,15.68,2.38,10.12
"FMR1 J","FMR1-KO","retention","RoomTrack_fmr1J_retention_20140305_130644.dat","trained","FMR1-KO_trained","FMR1-KO_trained_retention","FMR1-KO_trained_retention_FMR1 J",0,600,17.32,5,246.88,6.94,10.33,0.29,9,246.88,6.94,2.89,2.18,0.621,246,6.94,348.1,9.87,1.7,13.946,0.0347,0.2625,0.6412,0.0616,0.62,152.78,232.43,58.01,0.0019,330,190,140,0.0884,160,120,200,1e-04,18.5,0.3403,17,14.87,13.89,1.78,7.6
"FMR1 K","FMR1-KO","pretraining","RoomTrack_fmr1K_pretraining_20140306_120702.dat","control","FMR1-KO_control","FMR1-KO_control_pretraining","FMR1-KO_control_pretraining_FMR1 K",5e-04,600,34.61,40,6.41,0.59,10.53,1.16,59,6.41,0.59,5.77,4.05,0.6022,37,3.57,21.42,2.19,9.42,102.391,0.2459,0.269,0.2716,0.2135,0.08,107.72,180.7,98.98,0.0164,220,140,350,0.0393,350,300,130,1e-04,19.8,0.3117,15.4,12.69,21.31,1.16,3.7
"FMR1 K","FMR1-KO","training1","RoomTrack_fmr1K_training1_20140306_122656.dat","control","FMR1-KO_control","FMR1-KO_control_training1","FMR1-KO_control_training1_FMR1 K",0,600,26.45,28,29.56,1.12,9.4,1.06,51,29.56,1.12,4.41,3.19,0.6059,57,2.31,55.38,2.17,4.96,90.914,0.2335,0.267,0.2973,0.2022,0.05,154.38,179.4,101.24,0.0157,280,120,310,0.0419,120,60,240,0.0118,18.5,0.2827,13.5,12.37,21.74,0.88,3.29
"FMR1 K","FMR1-KO","training2","RoomTrack_fmr1K_training2_20140306_131736.dat","control","FMR1-KO_control","FMR1-KO_control_training2","FMR1-KO_control_training2_FMR1 K",0,600,27.87,30,4.44,0.22,13,1.08,68,4.44,0.22,4.64,3.43,0.6257,66,2.83,13.35,0.77,11.78,132.85,0.3404,0.2315,0.2433,0.1848,0.1,13.51,165.29,98.75,0.0164,250,90,310,0.0435,320,270,80,0.0186,18.5,0.288,15.4,13.46,19.82,1.25,4.45
"FMR1 K","FMR1-KO","training3","RoomTrack_fmr1K_training3_20140306_135953.dat","control","FMR1-KO_control","FMR1-KO_control_training3","FMR1-KO_control_training3_FMR1 K",0,600,24.99,29,0.5,0,-1,1.16,45,0.5,0,4.16,3.1,0.5871,52,1.75,11.34,0.37,10.74,87.042,0.2359,0.2773,0.2749,0.212,0.11,102.12,181.38,96.86,0.0182,230,170,30,0.0472,120,50,230,7e-04,18.5,0.2985,15.4,13.24,18.89,1.29,4.65
"FMR1 K","FMR1-KO","retention","RoomTrack_fmr1K_retention_20140307_105231.dat","control","FMR1-KO_control","FMR1-KO_control_retention","FMR1-KO_control_retention_FMR1 K",0,600,27.62,27,5.61,0.34,7.26,0.98,57,5.61,0.34,4.6,3.36,0.6106,67,3.86,20.75,1.25,10.33,101.752,0.263,0.3306,0.2049,0.2015,0.09,78.4,178.66,97.69,0.0146,170,130,350,0.0417,110,350,160,0.0088,18.5,0.2926,13.5,13.09,21.41,1.29,4.3
"BL A","WT","pretraining","RoomTrack_wildtypeA_pretrain_20140123_110345.dat","trained","WT_trained","WT_trained_pretraining","WT_trained_pretraining_BL A",0,600,23.01,16,10.94,0.7,11.91,0.7,26,10.94,0.7,3.84,2.83,0.501,139,6.77,18.15,1.4,14.43,45.037,0.1153,0.1556,0.2787,0.4504,0.35,239.12,202.22,117.5,0.0074,30,300,210,0.0607,250,200,320,0.0587,17,0.3206,13.5,12.14,20.11,0.93,3.47
"BL A","WT","training1","RoomTrack_wildtypeA_training1_20140123_112924.dat","trained","WT_trained","WT_trained_training1","WT_trained_training1_BL A",0,600,17.24,8,9.07,0.24,3.02,0.46,9,9.07,0.24,2.87,2.2,0.5186,168,4.64,70.89,2.06,4.54,11.009,0.0295,0.271,0.365,0.3346,0.41,184.68,232.52,81,9e-04,340,240,140,0.0685,240,150,280,0.0088,18.5,0.4091,15.4,13.46,18.93,1.19,3.9
"BL A","WT","training2","RoomTrack_wildtypeA_training2_20140123_120707.dat","trained","WT_trained","WT_trained_training2","WT_trained_training2_BL A",0,600,16.77,12,1.77,0,1.82,0.72,12,1.77,0,2.8,2.3,0.5817,364,0.72,33.83,0.42,1.05,12.98,0.0339,0.3471,0.5003,0.1187,0.46,161.68,241.02,67.01,0,350,240,160,0.0763,200,140,250,0.0052,11.4,0.432,17,15.23,21.78,2.64,9.26
"BL A","WT","training3","RoomTrack_wildtypeA_training3_20140123_130129.dat","trained","WT_trained","WT_trained_training3","WT_trained_training3_BL A",0,600,18.21,3,14.15,0.09,0.74,0.16,4,14.15,0.09,3.03,2.39,0.5882,505,1.31,53.85,1.66,2.85,5.237,0.0125,0.2135,0.5922,0.1818,0.59,176.35,252.09,59.36,0,310,210,150,0.078,190,140,230,2e-04,8.7,0.6272,17,16.67,13.09,4.86,28.92
"BL A","WT","retention","RoomTrack_wildtypeA_retention_20140124_105250.dat","trained","WT_trained","WT_trained_retention","WT_trained_retention_BL A",0,600,19.28,11,96.32,2.66,2.7,0.57,19,96.32,2.66,3.21,2.43,0.5027,155,4.34,178.42,5.22,3.26,35.399,0.0902,0.1508,0.2144,0.5446,0.41,256.2,185.39,129.6,0.0025,350,320,250,0.0702,280,230,330,0.0051,11.4,0.5903,17,16.32,5.61,1.04,5.97
